Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Valves per cylinder,Fuel system,Fuel control,Ignition,Cooling system,Gearbox,Transmission type,Clutch,Driveline,Frame type,Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Ground clearance,Wheelbase,Fuel capacity,Color options,Starter,Electrical,Comments,Lubrication system,Rake (fork angle),Wheels,"Weight incl. oil, gas, etc",Overall height,Carrying capacity,Engine details,Fuel consumption,Greenhouse gases,Alternate seat height,Oil capacity,Light,Exhaust system,Instruments,Factory warranty,Emission details,Seat,Oil filter,Brake fluid,Battery,Spark plugs,Belt teeth,Belt width,Pulley teeth,Fork tube size,Reserve fuel capacity,Max RPM,0-100 km/h (0-62 mph),1/4 mile (0.4 km),Engine oil,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Modifications compared to previous model,Coolant
Daelim Beagle 50,2016,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.6 ccm (3.03 cubic inches),"Single cylinder, four-stroke",3.9 HP (2.8  kW)) @ 7200 RPM,3.8 Nm (0.4 kgf-m or 2.8 ft.lbs) @ 6500 RPM,,,,,Carburettor,,,Air,Automatic,Belt   (final drive),,V-matic,,,Telescopic fork,,Swing arm with single shock absorber,,110/70-12 ,120/70-12 ,Single disc,,Expanding brake (drum brake),95.0 kg (209.4 pounds),0.0409 HP/kg,"735 mm (28.9 inches) If adjustable, lowest setting.",1800 mm (70.9 inches),710 mm (28.0 inches),,1255 mm (49.4 inches),5.00 litres (1.32 US gallons),,Electric,,Korean scooter,,,,,1185 mm (46.7 inches),,,,,,,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,,,
Yamaha JogR,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",2.8 HP (2.0  kW)) @ 7000 RPM,2.5 Nm (0.3 kgf-m or 1.8 ft.lbs) @ 7000 RPM,,11.6:1,40.0 x 39.2 mm (1.6 x 1.5 inches),,Carburettor. Gurtner PY12,Single Overhead Cams (SOHC),CDI,Air,Automatic,Belt   (final drive),,,Steel,,Telescopic fork,70 mm (2.8 inches),Unit Swing,60 mm (2.4 inches),110/70-12 ,120/70-12 ,Single disc,110 mm (4.3 inches),Expanding brake (drum brake),,,"770 mm (30.3 inches) If adjustable, lowest setting.",1740 mm (68.5 inches),675 mm (26.6 inches),132 mm (5.2 inches),1210 mm (47.6 inches),5.50 litres (1.45 US gallons),"White, black",Electric & kick,,,Separate lubrication,,6-spoke black aluminium,81.0 kg (178.6 pounds),1065 mm (41.9 inches),Storage compartment and luggage hook,,,,,,,,Analogue/digital instruments,,,,,,,,,,,,,,,,,,,,,,,,
Lexmoto Michigan 125,2016,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",9.9 HP (7.2  kW)) @ 8500 RPM,9.8 Nm (1.0 kgf-m or 7.2 ft.lbs) @ 6000 RPM,105.0 km/h (65.2 mph),8.7:1,52.4 x 57.8 mm (2.1 x 2.3 inches),,Carburettor,,CDI,Air,5-speed,Chain   (final drive),,,,,Telescopic fork,,Twin shock absorber,,90/90-18 ,130/90-15 ,Single disc,,Expanding brake (drum brake),140.0 kg (308.6 pounds),0.0709 HP/kg,"680 mm (26.8 inches) If adjustable, lowest setting.",2100 mm (82.7 inches),875 mm (34.4 inches),,1435 mm (56.5 inches),13.50 litres (3.57 US gallons),"Orange, gray",Electric,,,,,,,1180 mm (46.5 inches),,,,,,,,,,,Euro 3,,,,,,,,,,,,,,,,,,,,,,
Suzuki SFV650,2016,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,645.0 ccm (39.36 cubic inches),"V2, four-stroke",,,,11.5:1,81.0 x 62.5 mm (3.2 x 2.5 inches),,Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),Liquid,6-speed,Chain   (final drive),,Constant mesh,Trellis steel frame,104 mm (4.1 inches),"Telescopic, coil spring, oil damped",124 mm (4.9 inches),"Link type, coil spring, oil damped, spring preload 7-step adjustable",130 mm (5.1 inches),120/70-ZR17 ,160/60-ZR17 ,Double disc. Two-piston calipers. ,240 mm (9.4 inches),Single disc. Single-piston caliper. ,,,"785 mm (30.9 inches) If adjustable, lowest setting.",2130 mm (83.9 inches),760 mm (29.9 inches),135 mm (5.3 inches),1445 mm (56.9 inches),15.00 litres (3.96 US gallons),Pearl Vigor Blue/Pearl Glacier White,Electric,,,Wet sump,25.0°,Cast aluminum -alloy wheels ,202.0 kg (445.3 pounds),,,90-degree V-Twin,,,,,,,"Analog tachometer, LCD digital speedometer, LCD dual trip-meters and odometer. ",12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Ultra Limited Low,2016,Touring," 3.5  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1688.0 ccm (103.00 cubic inches),"V2, four-stroke",87.0 HP (63.5  kW)) @ 5100 RPM,138.0 Nm (14.1 kgf-m or 101.8 ft.lbs) @ 3750 RPM,,9.7:1,98.4 x 111.3 mm (3.9 x 4.4 inches),,Injection. Electronic Sequential Port Fuel Injection,,,Oil & air,6-speed,Belt   (final drive),Multi-plate with diaphragm spring in oil bath,"Chain, 34/46 ratio primary drive",,170 mm (6.7 inches),Telescopic fork,,Twin shocks,,130/80-17 ,180/65-16 ,Double disc. ABS. 4-piston,,Single disc. ABS. 4-piston,398.0 kg (877.4 pounds),0.2186 HP/kg,"685 mm (27.0 inches) If adjustable, lowest setting.",2600 mm (102.4 inches),,115 mm (4.5 inches),1625 mm (64.0 inches),22.71 litres (6.00 US gallons),"Deep Jade Pearl/Vivid Black, Billet Silver/Vivid Black, Mysterious Red Sunglo/Velocity Red Sunglo, Vivid Black, Black Quartz, Amber Whiskey/Vivid Black, Cosmic Blue Perl.",,,Windshield. Cruse Control. Alarm.,Dry sump,26.0°,Contrast Chrome Impeller Cast Aluminum,414.0 kg (912.7 pounds),,"Saddle bags, top box",Air-cooled Twin Cam 103™ with Integrated Oil-Cooler,5.60 litres/100 km (17.9 km/l or 42.00 mpg),129.9 CO2 g/km. (CO2 - Carbon dioxide emission) ,,3.80 litres (4.02 US quarts),"High beam, running lights, front fender running lights, directional light bar, low oil pressure, engine diagnostics, cruise control, speakers, accessory, security system, 6-speed, low fuel warning, ABS","Chrome, 2-1-2 dual exhaust with tapered mufflers","10% larger speedometer and tachometer with 68% wider numbers; 28% larger fuel and volt gauges with 30% wider numbers; display features odometer, trip A, trip B, range to empty, and gear indicator; and larger telltale indicators",,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Hayabusa Z,2016,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1340.0 ccm (81.77 cubic inches),"In-line four, four-stroke",194.0 HP (141.6  kW)) @ 9500 RPM,155.0 Nm (15.8 kgf-m or 114.3 ft.lbs) @ 7200 RPM,,12.5:1,81.0 x 65.0 mm (3.2 x 2.6 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Electronic ignition (Transistorized),Liquid,6-speed,Chain   (final drive),Slipper Clutch,Constant mesh,Rigid twin-spar aluminum,93 mm (3.7 inches),"KYB inverted telescopic, coil spring, oil damped",,"Link type, coil spring, oil damped",,120/70-ZR17 ,190/50-ZR17 ,Double disc. ABS,320 mm (12.6 inches),Single disc. ABS,266.0 kg (586.4 pounds),0.7293 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",2190 mm (86.2 inches),735 mm (28.9 inches),120 mm (4.7 inches),1480 mm (58.3 inches),21.00 litres (5.55 US gallons),"Red/silver
",Electric,,,Wet sump,26.4°,,,1165 mm (45.9 inches),,Twin Swirl Combustion Chambers. Lightweight aluminum alloy pistons. Lightweight titanium valves.,,,,,,Yoshimura Hepta Force ´titanium´ carbon tipped silencer,,12 month unlimited mileage limited warranty.,,,,,,,,,,,,,,,,,,,,,,,
TM Racing MX 125,2016,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,123.5 ccm (7.54 cubic inches),"Single cylinder, two-stroke",,,,,54.0 x 54.5 mm (2.1 x 2.1 inches),,Carburettor. Keihin PWK 38,,Kokusan CDI Electronic with variable advance with two selectable maps,Liquid,5-speed,Chain   (final drive),Multiuple-disk in oil-bath with hydaulic control,Straight – tooth gear,Alluminium perimetral ,,Marzocchi USD 50 mm (optional Kayaba USD 48 mm) ,,TM Racing,,80/100-21 ,100/90-19 ,Single disc. Wave disk with Nissin pump and Brembo caliper,245 mm (9.6 inches),Single disc. Wave disk with Nissin pump and caliper,,,,,,,,8.20 litres (2.17 US gallons),Blue/white,Kick,,Italian made bike.,"3,5% oil mix",,Wire spoked,,,,V-Force Reed valve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVS RTR 165,2016,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,165.0 ccm (10.07 cubic inches),"Single cylinder, four-stroke",,,160.0 km/h (99.4 mph),,63.0 x 52.9 mm (2.5 x 2.1 inches),,Carburettor,Single Overhead Cams (SOHC),,Liquid,5-speed,Chain   (final drive),Multiple disc in oil bath with hydraulic Control,,"Double cradle, steel",,Telescopic fork,,Mono suspension,,90/80-17 ,110/70-17 ,Single disc. Hydraulic. ,130 mm (5.1 inches),Expanding brake (drum brake),,,"780 mm (30.7 inches) If adjustable, lowest setting.",,,,1330 mm (52.4 inches),10.00 litres (2.64 US gallons),Blue/white,Electric & kick,"12V, 9Ah battery.",Made in India.,,,,137.0 kg (302.0 pounds),,,,,,,,,The world renowned Akrapovi and #269; titanium exhaust system gives a major bump in power giving the bike a performance edge on the rally circuit.,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R3,2016,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",321.0 ccm (19.59 cubic inches),"Twin, four-stroke",42.0 HP (30.7  kW)) @ 10750 RPM,29.6 Nm (3.0 kgf-m or 21.8 ft.lbs) @ 9000 RPM,,11.2:1,68.0 x 44.1 mm (2.7 x 1.7 inches),4,Injection. Fuel Injection with YCC-T and YCC-I,Double Overhead Cams/Twin Cam (DOHC),TCI: Transistor Controlled Ignition,Liquid,6-speed,Chain   (final drive),,Constant mesh,Steel frame and swingarm,94 mm (3.7 inches),41mm KYB  telescopic fork,130 mm (5.1 inches),KYB  single shock,124 mm (4.9 inches),110/70-M17 ,140/70-M17 ,Single disc,220 mm (8.7 inches),Single disc,,,"780 mm (30.7 inches) If adjustable, lowest setting.",2090 mm (82.3 inches),719 mm (28.3 inches),,1379 mm (54.3 inches),14.00 litres (3.70 US gallons),"Team Yamaha Blue/Matte Silver, Raven, Pearl White",Electric,,,,25.0°,,166.9 kg (368.0 pounds),1135 mm (44.7 inches),,All-aluminum DiASil cylinder,4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,2.60 litres (2.75 US quarts),,,"Multifunction digital and analog instrumentation features: programmable shift light, digital speedometer, analog tachometer, dual tripmeters with miles-on-reserve function, odometer, water temp gauge and lights for neutral, high beam, low fuel and turn signals.",1 Year Limited Factory Warranty,,,,,,,,,,,,,,,,,,,,,,,
Yamaha YZF-R1M,2016,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",200.0 HP (146.0  kW)) @ 13500 RPM,112.0 Nm (11.4 kgf-m or 82.6 ft.lbs) @ 11500 RPM,,13.0:1,79.0 x 50.9 mm (3.1 x 2.0 inches),4,Injection. Fuel Injection with YCC-T and YCC-I,Double Overhead Cams/Twin Cam (DOHC),TCI: Transistor Controlled Ignition,Liquid,6-speed,Chain   (final drive),Multiplate slipper clutch,O-ring chain,Aluminum Deltabox,102 mm (4.0 inches),43mm Öhlins electronic suspension w/ inverted fork; fully adjustable,119 mm (4.7 inches),"Öhlins electronic suspension w/ single shock w/piggyback reservoir, 4-way adjustable",119 mm (4.7 inches),120/70-ZR17 ,200/55-ZR17 ,Double disc. ABS. Hydraulic. Four-piston calipers. ,220 mm (8.7 inches),Single disc. ABS. Hydraulic. ,,,"861 mm (33.9 inches) If adjustable, lowest setting.",2055 mm (80.9 inches),691 mm (27.2 inches),,1405 mm (55.3 inches),17.03 litres (4.50 US gallons),Carbon Fiber/Liquid Metal,Electric,,,,24.0°,,200.9 kg (443.0 pounds),1151 mm (45.3 inches),,Crossplane crankshaft technology. Titanium intake valves.,6.92 litres/100 km (14.5 km/l or 33.99 mpg),160.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,LED Headlights,Titanium Exhaust,,1 Year Limited Factory Warranty,,,,,,,,,,,,,,,,,,,,,,,
Tomos Alpino 45,2016,Allround," 3.2  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,45.0 km/h (28.0 mph),10.0:1,38.0 x 43.0 mm (1.5 x 1.7 inches),,Carburettor. 14mm Dell´Orto PHVA,,CDI,Air,2-speed,Chain   (final drive),,,Steel tube,,Hydraulic telescopic forks,,Swing arm with two shock absorbers,,2.50-16 ,2.75-16 ,Expanding brake (drum brake),105 mm (4.1 inches),Expanding brake (drum brake),62.0 kg (136.7 pounds),,"820 mm (32.3 inches) If adjustable, lowest setting.",1840 mm (72.4 inches),,,1195 mm (47.0 inches),4.00 litres (1.06 US gallons),"Red, blue, white",Kick,,Slovenian brand.,Oil mixture 2%,,6-spoke cast,,,,,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,0.50 litres (0.13 US gallons),,,,,,,,,,,,
Honda CTX1300,2016,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1261.0 ccm (76.95 cubic inches),"V4, four-stroke",83.1 HP (60.7  kW)) @ 6000 RPM,106.0 Nm (10.8 kgf-m or 78.2 ft.lbs) @ 4500 RPM,,10.0:1,78.0 x 66.0 mm (3.1 x 2.6 inches),4,"Injection. PGM-FI with electronic control IACV, four 36mm throttle bodies",Double Overhead Cams/Twin Cam (DOHC),Computer-controlled digital with 3-D mapping and electronic advance,Liquid,5-speed,Shaft drive (cardan)   (final drive),,,Double cradle split down-tube,118 mm (4.6 inches),43mm inverted front fork (USD),107 mm (4.2 inches),Aluminium swingarm with double conventional shocks with mechanical preload adjustment,110 mm (4.3 inches),130/70-R18 ,200/50-R17 ,Double disc,315 mm (12.4 inches),Single disc,,,"735 mm (28.9 inches) If adjustable, lowest setting.",2380 mm (93.7 inches),940 mm (37.0 inches),130 mm (5.1 inches),1645 mm (64.8 inches),19.50 litres (5.15 US gallons),"Metallic Black, Gray Blue Metallic, Candy Red",Electric,,Model ID: CTX1300,,28.0°,Cast aluminum,338.0 kg (745.2 pounds),1170 mm (46.1 inches),Saddle bags,,,,,,,,,24 months,Meets current EPA standards. Models sold in California meet current CARB standards and may differ slightly due to emissions equipment.,,,,,,,,,,,,,,,,,,,,,,
Yamaha YFZ450R SE,2016,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,449.0 ccm (27.40 cubic inches),"Single cylinder, four-stroke",,,,11.8:1,95.0 x 63.4 mm (3.7 x 2.5 inches),5,Injection. Fuel Injection 42 mm EHS with ISC,Double Overhead Cams/Twin Cam (DOHC),TCI,Liquid,5-speed,Chain   (final drive),Slipper clutch,,Aluminum and steel,,"Independent double wishbone, threaded preload adjustable dual-rate coil-over springs, 3-way adjustable damper, 250 mm wheel travel",,"Cast aluminium swingarm, threaded preload adjustable coil-over springs, 3-way adjustable damper, 280 mm wheel travel",,21/7-10 ,20/10-9 ,Double disc. Hydraulic. Two-piston calipers. ,,Single disc. Two-piston calipers. ,,,"810 mm (31.9 inches) If adjustable, lowest setting.",1795 mm (70.7 inches),,115 mm (4.5 inches),1270 mm (50.0 inches),10.00 litres (2.64 US gallons),Yamaha Yellow/Black,Electric,,Special edition.,Dry sump,,Maxxi tires,184.0 kg (405.7 pounds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Bear Viking 150 Trike,2016,Allround,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,149.6 ccm (9.13 cubic inches),"Single cylinder, four-stroke",8.2 HP (6.0  kW)) @ 7500 RPM,9.3 Nm (0.9 kgf-m or 6.9 ft.lbs) @ 6000 RPM,80.0 km/h (49.7 mph),10.3:1,57.4 x 57.9 mm (2.3 x 2.3 inches),,Carburettor,,CDI,Air,Automatic,Chain   (final drive),,,Steel,,Telescopic fork,,Dual Shock,,120/70-12 ,205/50-10 ,Single disc,,Single disc,161.0 kg (355.0 pounds),0.0508 HP/kg,"749 mm (29.5 inches) If adjustable, lowest setting.",2050 mm (80.7 inches),1019 mm (40.1 inches),130 mm (5.1 inches),1549 mm (61.0 inches),6.81 litres (1.80 US gallons),"Black, red",Electric & kick,12V/9Ah battery.,Sold in the US. Made in China. Also called IceBear PST150-B Viking.,,,,,1019 mm (40.1 inches),Top box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Majesty S,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",11.8 HP (8.6  kW)) @ 7500 RPM,11.6 Nm (1.2 kgf-m or 8.6 ft.lbs) @ 7000 RPM,,11.0:1,52.0 x 58.7 mm (2.0 x 2.3 inches),4,Injection,Double Overhead Cams/Twin Cam (DOHC),Digital TCI; Transistor Controlled Ignition,Liquid,Automatic,Belt   (final drive),,V-belt,,,Telescopic fork,79 mm (3.1 inches),"Swingarm, monoshock",93 mm (3.7 inches),120/70-13 ,130/70-13 ,Single disc. Wave disc,245 mm (9.6 inches),Single disc. Wave disc.,,,"795 mm (31.3 inches) If adjustable, lowest setting.",2030 mm (79.9 inches),715 mm (28.1 inches),93 mm (3.7 inches),1405 mm (55.3 inches),7.40 litres (1.96 US gallons),"White, titan, black",Electric,,Windscreen.,,,,148.0 kg (326.3 pounds),1295 mm (51.0 inches),Lockable underseat storage.,,,,,,,,,1 Year Limited Factory Warranty,,,,,,,,,,,,,,,,,,,,,,,
Genuine Scooter Roughhouse Sport,2016,Scooter,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,48.3 km/h (30.0 mph),,,,Carburettor,,,Air,Automatic,Belt   (final drive),Automatic,,,,Telescopic fork,,Monoshock. With Adjustable Piggy Back Reservoir Shock.,,120/70-12 ,130/70-12 ,Single disc. Wave Rotor,,Expanding brake (drum brake),,,"749 mm (29.5 inches) If adjustable, lowest setting.",,,,,,"Matte Red, Matte Titanium",Electric,,USB port to charge cell phone or iPod.,,,Black Alloy Rims,89.8 kg (198.0 pounds),,,,2.35 litres/100 km (42.6 km/l or 100.09 mpg),54.5 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,"2 years, unlimited mileage",,,,,,,,,,,,,,,,,,,,,,,
Megelli Motard 250M,2016,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,249.6 ccm (15.23 cubic inches),"Single cylinder, four-stroke",27.0 HP (19.7  kW)) @ 9000 RPM,22.3 Nm (2.3 kgf-m or 16.4 ft.lbs) @ 7000 RPM,,11.1:1,77.0 x 53.6 mm (3.0 x 2.1 inches),4,Carburettor. TK/MV34. Optional injection.,Single Overhead Cams (SOHC),,Liquid,6-speed,Chain   (final drive),,,Twin Spar Trellis main frame. T6 Aluminum Trellis with forger dropouts swing arm.,,Inverted Nitrogen shock,,Monoshock,,100/70-17 ,130/70-17 ,Single disc. Two-Piston Caliper,,Single disc. Two-Piston Caliper,124.0 kg (273.4 pounds),0.2177 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",2050 mm (80.7 inches),780 mm (30.7 inches),200 mm (7.9 inches),1410 mm (55.5 inches),6.70 litres (1.77 US gallons),"Red/black, black/red, yellow/black, white/black, white/red, yellow/black

",Electric,,,,,Aluminum Rims,,1130 mm (44.5 inches),,,,,"860 mm (33.9 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rokon Trail-Breaker,2016,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,208.0 ccm (12.69 cubic inches),"Single cylinder, four-stroke",7.0 HP (5.1  kW)) @ 3600 RPM,12.4 Nm (1.3 kgf-m or 9.1 ft.lbs) @ 2800 RPM,56.0 km/h (34.8 mph),,,,Carburettor. Fixed Main Jet Carburetor,Overhead Cams (OHC),Electronic Magneto,Liquid,3-speed,Chain   (final drive),,Both front and rear wheel drive,,,Twin springs,,Single spring,,5.90-15 ,5.90-15 ,Single disc,,Single disc,98.8 kg (217.8 pounds),0.0709 HP/kg,"813 mm (32.0 inches) If adjustable, lowest setting.",2007 mm (79.0 inches),787 mm (31.0 inches),381 mm (15.0 inches),1295 mm (51.0 inches),11.36 litres (3.00 US gallons),"Black, olive, yellow, red, orange, forest green",Electric & kick,12 Volt,"Full time, Front and Rear wheel drive. Hollow drum wheels can provide floatation or space for up to 2.5 gallons of extra fuel or water.",,,Aluminum,,,,Kohler fan cooled engine,4.50 litres/100 km (22.2 km/l or 52.27 mpg),104.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,Muffler with US Forestry approved spark arrestor,,12 Month Limited Warranty,,,,,,,,,,,,,,,,,,,,,,,
Beeline Bestia 3.3 SM ATV,2016,ATV,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,282.0 ccm (17.21 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,Air,,Chain   (final drive),,,,,"Hydraulic gas spring, independent suspension",,"Swingarm, hydraulic gas spring",,,,Single disc,220 mm (8.7 inches),Single disc,219.0 kg (482.8 pounds),,,1720 mm (67.7 inches),1270 mm (50.0 inches),,,,"White, black",Electric,,Beeline is a brand name use by TGB (Taiwan Golden Bee) in some European countries. ,,,,,1000 mm (39.4 inches),,,,,,,,,Digital dashboard,,,,,,,,,,,,,,,,,,,,,,,,
Geely JL300T-8,2016,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,275.6 ccm (16.82 cubic inches),"Single cylinder, four-stroke",21.5 HP (15.7  kW)) @ 6500 RPM,23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 5500 RPM,120.0 km/h (74.6 mph),9.5:1,72.5 x 66.8 mm (2.9 x 2.6 inches),,,,CDI,Liquid,Automatic,Belt   (final drive),,,,,,,,,130/60-13 ,130/60-13 ,Single disc,,Single disc,180.0 kg (396.8 pounds),0.1192 HP/kg,,2220 mm (87.4 inches),880 mm (34.6 inches),,1630 mm (64.2 inches),12.00 litres (3.17 US gallons),Red/white,Electric,,Windscreen. Chinese brand.,,,,,1180 mm (46.5 inches),,,,,,,,,,,,Dual seat,,,,,,,,,,,,,,,,,,,,,
