Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Ignition,Cooling system,Gearbox,Transmission type,Front suspension,Rear suspension,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Overall height,Overall length,Overall width,Wheelbase,Fuel capacity,Starter,Lubrication system,Clutch,Frame type,Compression,Valves per cylinder,Fuel system,Fuel control,Front wheel travel,Rear wheel travel,Front tire,Rear tire,Diameter,"Weight incl. oil, gas, etc",Seat height,Ground clearance,Color options,Comments,Top speed,Fuel consumption,Greenhouse gases,Rake (fork angle),Trail,Exhaust system,Reserve fuel capacity,Driveline,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Max RPM,Alternate seat height,Modifications compared to previous model,0-100 km/h (0-62 mph),Belt teeth,Belt width,Engine details,Front percentage of weight,Rear percentage of weight,Emission details,Pulley teeth,Wheels
Suzuki Grass Tracker,2005,Enduro / offroad," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,22.0 Nm (2.2 kgf-m or 16.2 ft.lbs) @ 2200 RPM,,,Air,5-speed,,,,,,,,,,,1405 mm (55.3 inches),6.00 litres (1.59 US gallons),,,,Diamond,,,,Single Overhead Cams (SOHC),,,,,,,,,,Model for the Japanese marked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyosung GT 650 S,2005,Allround," 3.6  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",,,,,Liquid,6-speed,,,,Double disc,Single disc,189.0 kg (416.7 pounds),,1060 mm (41.7 inches),2060 mm (81.1 inches),730 mm (28.7 inches),1435 mm (56.5 inches),17.00 litres (4.49 US gallons),Electric,,,,,4,,Double Overhead Cams/Twin Cam (DOHC),,,120/60-ZR17 55W ,160/60-ZR17 69W ,,,,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jinlun JL 125 MARAUDER     (JL125 - 11),2005,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.1 ccm (7.57 cubic inches),"Twin, four-stroke",12.1 HP (8.8  kW)) @ 10000 RPM,8.5 Nm (0.9 kgf-m or 6.3 ft.lbs) @ 9000 RPM,44.0 x 40.8 mm (1.7 x 1.6 inches),electric / Kick starter,Air,5-speed,Chain   (final drive),,,Single disc,Expanding brake (drum brake),135.0 kg (297.6 pounds),0.0893 HP/kg,1090 mm (42.9 inches),2160 mm (85.0 inches),815 mm (32.1 inches),1450 mm (57.1 inches),10.00 litres (2.64 US gallons),Electric & kick,WET SUMP,"manual,wet, multi disc",,9.4:1,,Carburettor,,,,110/90-16 ,130/90-15 ,,,,140 mm (5.5 inches),"RED
BLACK
BLUE
SILVER","MORE INFO SEE
http://www.relcol.com
£1095 BRITISH POUNDS",88.0 km/h (54.7 mph),2.40 litres/100 km (41.7 km/l or 98.01 mpg),55.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,DOUBLE CHROME/SS PIPES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Grand Dink 250,2005,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",251.0 ccm (15.32 cubic inches),"Single cylinder, four-stroke",19.4 HP (14.2  kW)) @ 7500 RPM,21.8 Nm (2.2 kgf-m or 16.1 ft.lbs) @ 5500 RPM,,,Liquid,,,,,Single disc,Single disc,163.0 kg (359.4 pounds),0.1193 HP/kg,1370 mm (53.9 inches),2055 mm (80.9 inches),768 mm (30.2 inches),,,Kick,,,,,,,,,,120/70-12 ,140/70-12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Van Van 200,2005,Sport," 3.5  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",199.0 ccm (12.14 cubic inches),"Single cylinder, four-stroke",16.1 HP (11.7  kW)),15.0 Nm (1.5 kgf-m or 11.1 ft.lbs),,,Air,5-speed,,,,,,118.0 kg (260.1 pounds),0.1364 HP/kg,,,,1375 mm (54.1 inches),7.50 litres (1.98 US gallons),,,,Diamond,,,Carburettor,Single Overhead Cams (SOHC),,,,,,,,,,Model for the Japanese marked.,,,,26.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vespa PX 150,2005,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",151.0 ccm (9.21 cubic inches),"Single cylinder, two-stroke",,,57.0 x 58.0 mm (2.2 x 2.3 inches),Electronic CDI,Air,Automatic,,"Oscillating arm, coil spring and dual effect hydraulic shock absorber","Hydraulic shock absorber, 88 mm stroke",Single disc,Expanding brake (drum brake),97.0 kg (213.8 pounds),,,1810 mm (71.3 inches),700 mm (27.6 inches),1260 mm (49.6 inches),8.00 litres (2.11 US gallons),Electric & kick,Automatic oil-fuel mixer,Oil wet clutch,Pressed steel monocoque,,,,,,,,,150 mm (5.9 inches),116.0 kg (255.7 pounds),"780 mm (30.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco Yup 250,2005,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",251.0 ccm (15.32 cubic inches),"Single cylinder, four-stroke",19.4 HP (14.2  kW)) @ 6750 RPM,21.8 Nm (2.2 kgf-m or 16.1 ft.lbs) @ 5500 RPM,,,Liquid,,,,,Single disc,Single disc,158.0 kg (348.3 pounds),0.1230 HP/kg,1165 mm (45.9 inches),2060 mm (81.1 inches),740 mm (29.1 inches),,,Kick,,,,,,,Overhead Cams (OHC),,,120/70-12 ,140/70-12 ,,,,,Dark grey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieju RS1 Castrol,2005,Sport," 3.4  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",50.0 ccm (3.05 cubic inches),"Single cylinder, two-stroke",9.0 HP (6.6  kW)),,39.0 x 40.3 mm (1.5 x 1.6 inches),,Liquid,6-speed,,,,Single disc,Single disc,,,,1855 mm (73.0 inches),630 mm (24.8 inches),,9.00 litres (2.38 US gallons),Electric,Automix,,Double cradle steel tube.,12.0:1,,Carburettor. Dell´ortho HSA,,,,90/90-16 ,120/80-16 ,200 mm (7.9 inches),,,,Red/white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 1500 Drifter,2005,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1470.0 ccm (89.70 cubic inches),"V2, four-stroke",,,102.0 x 90.0 mm (4.0 x 3.5 inches),Digital,Liquid,5-speed,Shaft drive (cardan)   (final drive),41mm hydraulic telescopic fork,Dual air-assisted shocks,Single disc,Single disc,303.9 kg (670.0 pounds),,1115 mm (43.9 inches),,980 mm (38.6 inches),1656 mm (65.2 inches),18.92 litres (5.00 US gallons),Electric,,Hydraulic release,"High-tensile steel, double cradle",9.0:1,,Carburettor.  Keihin CVK40,Single Overhead Cams (SOHC),,,130/90-x16 ,150/80-x16 ,270 mm (10.6 inches),,"729 mm (28.7 inches) If adjustable, lowest setting.",124 mm (4.9 inches),Black,,,,,32.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Hornet 250,2005,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",249.0 ccm (15.19 cubic inches),"In-line four, four-stroke",40.0 HP (29.2  kW)) @ 14000 RPM,24.0 Nm (2.4 kgf-m or 17.7 ft.lbs) @ 11000 RPM,48.5 x 33.8 mm (1.9 x 1.3 inches),,Liquid,6-speed,Chain   (final drive),Inverted forks,Monoshock,Single disc,Single disc,151.0 kg (332.9 pounds),0.2649 HP/kg,,,,,,Electric,,Multi plate wet,Diamond ,11.5:1,4,Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,130/70-ZR16 ,180/55-ZR17 ,220 mm (8.7 inches),168.0 kg (370.4 pounds),"745 mm (29.3 inches) If adjustable, lowest setting.",,,Also called Honda CB250F.,180.0 km/h (111.8 mph),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FS 650 c,2005,Super motard," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",628.0 ccm (38.32 cubic inches),"Single cylinder, four-stroke",,,,Kokusan digital,Liquid,6-speed,Chain   (final drive),WP MXMA 4860-Husaberg Supermotard,WP PDS 5018-Husaberg Supermotard,Single disc,Single disc,110.0 kg (242.5 pounds),,,,,1481 mm (58.3 inches),9.00 litres (2.38 US gallons),Electric & kick,"Pressure circulation, trochoit oil pump","Wet multi-disc clutch, hydraulic.",CrMo,11.7:1,4,Carburettor.  Keihin MX FCR 41 mm,Overhead Cams (OHC),260 mm (10.2 inches),287 mm (11.3 inches),120/60-17 ,150/60-17 ,220 mm (8.7 inches),,"870 mm (34.3 inches) If adjustable, lowest setting.",,Yellow/blue,Model id FS650c.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti Firefox 50,2005,Scooter," 3.8  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.2 ccm (3.00 cubic inches),"Single cylinder, two-stroke",,,,Electronic,Liquid,,,,,Single disc,Single disc,92.0 kg (202.8 pounds),,,,,,7.00 litres (1.85 US gallons),Electric & kick,Automatic vacuum fuel tap,Automatic centrifugal dry clutch,Steel,,,,,,,120/70-12 ,130/70-12 ,190 mm (7.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki KX 65,2005,Cross / motocross," 3.5  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",64.7 ccm (3.95 cubic inches),"Single cylinder, two-stroke",,,44.5 x 41.6 mm (1.8 x 1.6 inches),Electronic CDI,Liquid,6-speed,Chain   (final drive),33mm leading axle conventional fork,UNI-TRAK® single shock system,Single disc,Single disc,57.0 kg (125.6 pounds),,955 mm (37.6 inches),,759 mm (29.9 inches),1120 mm (44.1 inches),3.78 litres (1.00 US gallons),,,,"Semi-double-cradle, high-tensile steel",8.4:1,,Carburettor. Mikuni VM24SS,,,,60/90-14 ,80/90-12 ,,,"759 mm (29.9 inches) If adjustable, lowest setting.",305 mm (12.0 inches),Kawasaki Lime Green,,,,,27.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polini 911 GP 3 Race,2005,"Minibike, sport"," 3.2  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",39.9 ccm (2.43 cubic inches),"Single cylinder, two-stroke",,,36.0 x 39.0 mm (1.4 x 1.5 inches),Electronic,,,,,,Single disc,Single disc,22.0 kg (48.5 pounds),,,960 mm (37.8 inches),,,,,,Dry with centrifugal counter weights,Lattice tubular frame,16.5:1,,Carburettor. PHBG 15,,,,,,,,"425 mm (16.7 inches) If adjustable, lowest setting.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti Madison 200,2005,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",198.0 ccm (12.08 cubic inches),"Single cylinder, four-stroke",19.4 HP (14.2  kW)) @ 8750 RPM,17.5 Nm (1.8 kgf-m or 12.9 ft.lbs) @ 6750 RPM,72.0 x 48.6 mm (2.8 x 1.9 inches),,Liquid,,Belt   (final drive),"Front suspension by hydraulic fork, ø 36 mm stanchions",Rear suspension by swinging engine and 2 hydraulic shock absorbers,Single disc,Single disc,150.0 kg (330.7 pounds),0.1296 HP/kg,,,,,12.00 litres (3.17 US gallons),Electric,,,High resistance braced tubular steel frame,11.0:1,4,Carburettor,,,,120/70-13 ,130/60-13 ,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kymco 125 Grand King,2005,Allround," 3.5  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",124.1 ccm (7.57 cubic inches),"Single cylinder, four-stroke",10.7 HP (7.8  kW)) @ 8500 RPM,9.5 Nm (1.0 kgf-m or 7.0 ft.lbs) @ 7000 RPM,,,Air,4-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),110.0 kg (242.5 pounds),0.0975 HP/kg,1050 mm (41.3 inches),1920 mm (75.6 inches),750 mm (29.5 inches),,,Kick,,Mechanical,,,,,,,,2.75-18 ,3.50-17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa 125 Dandy,2005,Enduro / offroad," 2.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",12.6 HP (9.2  kW)) @ 8200 RPM,9.2 Nm (0.9 kgf-m or 6.8 ft.lbs) @ 7000 RPM,56.5 x 49.5 mm (2.2 x 1.9 inches),,,5-speed,,,,Single disc,Single disc,103.0 kg (227.1 pounds),0.1223 HP/kg,,,,1330 mm (52.4 inches),6.50 litres (1.72 US gallons),Electric & kick,,,,9.0:1,,,,,,2.75-17 ,3.00-17 ,180 mm (7.1 inches),,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,108.0 km/h (67.1 mph),,,,,,1.20 litres (0.32 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing SMR 530 F a.e.,2005,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,527.7 ccm (32.20 cubic inches),"Single cylinder, four-stroke",,,98.0 x 70.0 mm (3.9 x 2.8 inches),Koukusan CDI electronic with variable advance.,Liquid,6-speed,Chain   (final drive),Kayaba/Paioli  USD (optional OIhlins),Ohlins,Single disc,Single disc,,,,,,,8.00 litres (2.11 US gallons),Electric & kick,Dry sump with double rotor pump,Multiple-disk in oil-bath with hydraulic control,CrMo. Perimetral oval section.,,4,Carburettor. Mikuni TDMR 41,Double Overhead Cams/Twin Cam (DOHC),,,120/70-ZR17 ,150/60-ZR17 ,240 mm (9.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 50 CC Enduro,2005,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.7 ccm (3.03 cubic inches),"Single cylinder, two-stroke",,,40.3 x 39.0 mm (1.6 x 1.5 inches),,Liquid,6-speed,Chain   (final drive),Hydraulic telescopic fork Paioli 41 Ø,"Olle single shock absorber, adjustable in spring preload.",,,83.0 kg (183.0 pounds),,,,,1970 mm (77.6 inches),,,,,Built from Chrome-molybdenum forming a single structure.,,,Carburettor,,,,,,,,"920 mm (36.2 inches) If adjustable, lowest setting.",280 mm (11.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1200 C Independence,2005,Custom / cruiser," 3.2  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1170.0 ccm (71.39 cubic inches),"Two cylinder boxer, four-stroke",60.3 HP (44.0  kW)) @ 5000 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 3000 RPM,101.0 x 73.0 mm (4.0 x 2.9 inches),,Oil & air,5-speed,Shaft drive (cardan)   (final drive),BMW Motorrad Telelever,Die-cast steel single-sided swinging arm with BMW Motorrad Monolever,Double disc,Double disc,239.0 kg (526.9 pounds),0.2525 HP/kg,1130 mm (44.5 inches),2340 mm (92.1 inches),1050 mm (41.3 inches),1650 mm (65.0 inches),,,,"Single-disc dry clutch, hydraulically operated","Three-section composite frame consisting of front and rear section, load bearing engine.",10.0:1,4,"Injection.  Electronic intake pipe injection/digital engine management: Bosch Motronic MA 2.4 with overrun fuel cut-off, twin spark ignition",,35 mm (1.4 inches),135 mm (5.3 inches),100/90-ZR18 ,170/80-ZR15 ,285 mm (11.2 inches),259.0 kg (571.0 pounds),"740 mm (29.1 inches) If adjustable, lowest setting.",,,,168.0 km/h (104.4 mph),,,29.5°,86 mm (3.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Aerox 50,2005,Scooter," 2.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"In-line six, two-stroke",3.0 HP (2.2  kW)),2.7 Nm (0.3 kgf-m or 2.0 ft.lbs),,,Liquid,Automatic,Belt   (final drive),Telescopic fork,Dual shocks,Single disc,Single disc,97.0 kg (213.8 pounds),0.0309 HP/kg,,,,,7.00 litres (1.85 US gallons),,,,Tubular steel  cradle,,,Injection,Desmodromic valve control,,,130/60-13 ,140/60-13 ,190 mm (7.5 inches),,"830 mm (32.7 inches) If adjustable, lowest setting.",,,,48.3 km/h (30.0 mph),3.22 litres/100 km (31.1 km/l or 73.05 mpg),74.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSX 1300 R Hayabusa,2005,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1299.0 ccm (79.26 cubic inches),"In-line four, four-stroke",,,81.0 x 63.0 mm (3.2 x 2.5 inches),,Liquid,6-speed,Chain   (final drive),"Inverted telescopic, coil spring, fully adjustable spring preload, 14-way adjustable rebound damping and 13-way adjustable compression damping","Link-type, gas/oil damped, fully adjustable spring preload, 22-way adjustable compression  and  rebound damping",Double disc,Single disc,217.0 kg (478.4 pounds),,1155 mm (45.5 inches),2140 mm (84.3 inches),740 mm (29.1 inches),1485 mm (58.5 inches),21.00 litres (5.55 US gallons),,,,Rigid twin-spar aluminum frame minimizes weight while maintaining high torsional strength,11.0:1,4,Injection,Double Overhead Cams/Twin Cam (DOHC),,,120/70-ZR17 ,190/50-ZR17 ,240 mm (9.4 inches),,"805 mm (31.7 inches) If adjustable, lowest setting.",120 mm (4.7 inches),"Blue/Silver, Red/Black, Gray/Black",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing SMM 450 F Black Dream e.s.,2005,Super motard,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,449.2 ccm (27.41 cubic inches),"Single cylinder, four-stroke",,,95.0 x 63.4 mm (3.7 x 2.5 inches),Koukusan CDI electronic with variable advance.,Liquid,5-speed,,Kayaba/Paioli  USD,Ohlins,Single disc,Single disc,,,,,,,8.00 litres (2.11 US gallons),Electric & kick,Dry sump with double rotor pump,Multiple-disk in oil-bath with hydraulic control,CrMo steel. Perimetral oval section.,,4,Carburettor. Mikuni TDMR 40,Double Overhead Cams/Twin Cam (DOHC),,,120/70-ZR17 ,150/60-ZR17 ,220 mm (8.7 inches),,,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derbi Atlantis,2005,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.9 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,39.9 x 40.0 mm (1.6 x 1.6 inches),C.D.I.,Air,6-speed,Shaft drive (cardan)   (final drive),"Hydraulic fork,",Lineal gas single absorber,Single disc,Expanding brake (drum brake),,,,1810 mm (71.3 inches),,1265 mm (49.8 inches),7.00 litres (1.85 US gallons),Electric & kick,Oil pump,Centrifugal,,13.0:1,,Carburettor. PVHA 17.5,,,,120/80-12 ,120/70-12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja ZX-10 R,2005,Sport," 3.9  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",998.0 ccm (60.90 cubic inches),"In-line four, four-stroke",,,76.0 x 55.0 mm (3.0 x 2.2 inches),TCBI with digital advance,Liquid,6-speed,Chain   (final drive),"43mm forks with 16-way compression and rebound damping, fully adjustable preload","Gull-type aluminum swingarm, UNI-TRAK® linkage system, fully adjustable gas-charged shock with stepless compression and rebound damping, adjustable spring preload, adjustable ride height","Double disc. Hydralic petal disc with radial-mounted, opposed four-piston caliper.",Single disc. Hydraulic petal disc with single-piston caliper,170.1 kg (374.9 pounds),,1115 mm (43.9 inches),,706 mm (27.8 inches),1384 mm (54.5 inches),17.03 litres (4.50 US gallons),Electric,,,All-aluminum twin-tube backbone,12.7:1,4,Carburettor.  Keihin CVK34 x 2,Double Overhead Cams/Twin Cam (DOHC),,,120/70-ZR17 ,190/50-ZR17 ,220 mm (8.7 inches),,"826 mm (32.5 inches) If adjustable, lowest setting.",124 mm (4.9 inches),"Kawasaki Lime Green / Stoic Black, Metallic Raw Titanium / Flat Stoic Black , Pearl Maoma Red / Flat Stoic Black",,,,,24.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 65 SX,2005,"Minibike, cross"," 3.5  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",64.9 ccm (3.96 cubic inches),"Single cylinder, two-stroke",,,45.0 x 40.8 mm (1.8 x 1.6 inches),Moric digital 2M1,Liquid,,Chain   (final drive),USD Marzocchi,WP monoshock,Single disc,Single disc,55.6 kg (122.6 pounds),,,,,1137 mm (44.8 inches),3.30 litres (0.87 US gallons),,,"Wet multi-disc clutch, operated hydraulically",Chromium molybdenum central-type frame,,,Carburettor.  Mikuni VM 24,,35 mm (1.4 inches),,,,216 mm (8.5 inches),,"750 mm (29.5 inches) If adjustable, lowest setting.",290 mm (11.4 inches),,,,,,25.5°,69 mm (2.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHTI Electra Glide Standard,2005,Touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,109.0 Nm (11.1 kgf-m or 80.4 ft.lbs) @ 3400 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Air,5-speed,Belt   (final drive),,,Double disc,Single disc,332.0 kg (731.9 pounds),,,2440 mm (96.1 inches),,1592 mm (62.7 inches),18.90 litres (4.99 US gallons),,,Multi-plate clutch with diaphragm spring in oil bath,,8.8:1,,Injection.  Electronic Sequential Port Fuel Injection (ESPFI ),Double Overhead Cams/Twin Cam (DOHC),,,MT90-B16 ,MU85-B16 ,292 mm (11.5 inches),,"693 mm (27.3 inches) If adjustable, lowest setting.",130 mm (5.1 inches),"Vivid black, black cherry pearl, chopper blue pearl",,,,,26.0°,,Crossover duals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph Thruxton 900,2005,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",865.0 ccm (52.78 cubic inches),"Twin, four-stroke",70.0 HP (51.1  kW)) @ 7250 RPM,72.0 Nm (7.3 kgf-m or 53.1 ft.lbs) @ 6000 RPM,90.0 x 68.0 mm (3.5 x 2.7 inches),Digital - inductive type,Air,5-speed,Chain   (final drive),41mm forks with adjustable preload,Chromed spring twin shocks with adjustable preload,Single disc. 2-piston calipers,Single disc. 2-piston calipers,205.0 kg (451.9 pounds),0.3415 HP/kg,1095 mm (43.1 inches),2150 mm (84.6 inches),695 mm (27.4 inches),1490 mm (58.7 inches),16.60 litres (4.39 US gallons),,,"Wet, multi-plate",Tubular steel cradle,9.2:1,,Carburettor. Twin carburettors with throttle position sensor and electric carburettor heaters,Double Overhead Cams/Twin Cam (DOHC),,,100/90-19 ,130/80-17 ,255 mm (10.0 inches),,"790 mm (31.1 inches) If adjustable, lowest setting.",,"Jet Black/Silver, Racing Yellow/Silver, Caspian Blue/Silver",,,,,27.0°,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boss Hoss BHC-3 ZZ4,2005,Custom / cruiser," 3.4  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",5700.0 ccm (347.81 cubic inches),"V8, four-stroke",355.0 HP (259.1  kW)),,,,Liquid,,Belt   (final drive),"63mm inverted forks, adj. preload 2.5´ travel","Dual 13.0´ coilover shocks, adj. preload",,,"499.0 kg (1,100.0 pounds)",0.7115 HP/kg,,,711 mm (28.0 inches),2032 mm (80.0 inches),32.17 litres (8.50 US gallons),,,,,10.0:1,,Carburettor. Quadrajet 750 cfm,,,,"130/90-16, 3.50x16.0 ",230/60-7.0x15.0 ,,,"711 mm (28.0 inches) If adjustable, lowest setting.",114 mm (4.5 inches),,,,,,33.0°,,2.0´ with dual mufflers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHRSI Road King Custom,2005,Touring," 3.9  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,109.0 Nm (11.1 kgf-m or 80.4 ft.lbs) @ 3400 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Air,5-speed,Belt   (final drive),,,Double disc,Single disc,332.0 kg (731.9 pounds),,,2440 mm (96.1 inches),,1592 mm (62.7 inches),18.90 litres (4.99 US gallons),,,Multi-plate clutch with diaphragm spring in oil bath,,8.8:1,,Injection.  Electronic Sequential Port Fuel Injection (ESPFI ),Double Overhead Cams/Twin Cam (DOHC),,,MT90-B16 ,MU85-B16 ,292 mm (11.5 inches),,"663 mm (26.1 inches) If adjustable, lowest setting.",119 mm (4.7 inches),"Vivid black, smokey gold pearl, black cherry pearl, black pearl, lava red sunglo, glacier white pearl, rich sunglo blue, yellow pearl",,,,,26.0°,,Crossover duals,,,,,,,,,,,,,,,,,,,,,,,,,,,,
