Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Top speed,Compression,Bore x stroke,Fuel system,Cooling system,Transmission type,Fuel consumption,Greenhouse gases,Emission details,Front tire,Rear tire,Front brakes,Diameter,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Wheelbase,Fuel capacity,Color options,Starter,Valves per cylinder,Fuel control,Ignition,Gearbox,Clutch,Frame type,Rake (fork angle),Trail,Front suspension,Front wheel travel,Rear suspension,Rear wheel travel,Seat,"Weight incl. oil, gas, etc",Light,Carrying capacity,Factory warranty,Comments,Engine details,Exhaust system,Wheels,Alternate seat height,Driveline,Overall height,Overall width,Ground clearance,Electrical,Lubrication system,Instruments,Reserve fuel capacity,Oil capacity,Max RPM,Engine oil,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Chain size,Chain links,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,0-100 km/h (0-62 mph),Modifications compared to previous model,Service interval,"60-140 km/h (37-87 mph), highest gear",Oil filter,Belt teeth,1/4 mile (0.4 km)
CCM Stealth Foggy,2021,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,600.0 ccm (36.61 cubic inches),"Single cylinder, four-stroke",62.0 HP (45.3  kW)),55.0 Nm (5.6 kgf-m or 40.6 ft.lbs) @ 5500 RPM,,12.0:1,100.0 x 76.5 mm (3.9 x 3.0 inches),Injection. Mikuni D45,Liquid,Chain   (final drive),4.20 litres/100 km (23.8 km/l or 56.00 mpg),97.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,130/70-19 ,130/70-19 ,Double disc,240 mm (9.4 inches),Single disc,142.0 kg (313.1 pounds),0.4366 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",2145 mm (84.4 inches),1455 mm (57.3 inches),14.00 litres (3.70 US gallons),Black/bronze,Electric,,,,6-speed,"Multiple-disc, wet, Hydraulic control","High strength steel, Hand Tig welded",26.0°,118 mm (4.6 inches),"Telescopic fork, adjustable",130 mm (5.1 inches),"Single shock, adjustable.",130 mm (5.1 inches),,,,,2-year warranty.,,,,,,,1165 mm (45.9 inches),,,,,,,1.80 litres (1.9 US quarts),,,,,,,,,,,,,,,,,,,,
Docker Jet Max 250,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,250.0 ccm (15.26 cubic inches),"Single cylinder, four-stroke",19.6 HP (14.3  kW)),,,,,,Air,Belt   (final drive),,,,120/70-15 ,140/60-14 ,Single disc,,Single disc,200.0 kg (440.9 pounds),0.0979 HP/kg,,2259 mm (88.9 inches),1590 mm (62.6 inches),12.50 litres (3.30 US gallons),Grey,Electric,,,CDI,,,,,,,,,,,,,,12 months,,,,,,,1366 mm (53.8 inches),798 mm (31.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Honda Rebel 1100 DCT,2021,Custom / cruiser,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1084.0 ccm (66.15 cubic inches),"Twin, four-stroke",,,,10.1:1,92.0 x 81.5 mm (3.6 x 3.2 inches),Injection. PGM-FI electronic fuel injection. Throttle By Wire.,Liquid,Chain   (final drive),,,,130/70-18 ,180/65-16 ,Single disc. ABS. Floating discs. Four-piston calipers. Radially mounted. ,256 mm (10.1 inches),Single disc. ABS. Single-piston caliper. ,,,"699 mm (27.5 inches) If adjustable, lowest setting.",2188 mm (86.1 inches),1519 mm (59.8 inches),13.63 litres (3.60 US gallons),"Metallic Black, Bordeaux Red Metallic",Electric,4,Single Overhead Cams (SOHC),Full transistorized ignition,Automatic,6-speed Automatic Dual Clutch Transmission,,28.0°,110 mm (4.3 inches),43mm fork,122 mm (4.8 inches),"Dual Showa shocks with 12.5mm shafts, adjustable preload, and piggyback pressurized reservoirs",94 mm (3.7 inches),,230.9 kg (509.0 pounds),LED,,"1 Year Factory Warranty, Unlimted Miles",Cruise control. Selectable riding modes. USB charging port. Model id: CMX1100D.,22.5° parallel-twin,,,,#525 O-ring-sealed chain; 16T/42T,1094 mm (43.1 inches),820 mm (32.3 inches),136 mm (5.4 inches),,,Digital,4.16 litres (1.10 US gallons),,,,,,,,,,,,,,,,,,,,,
BMW Definition CE 04,2021,Prototype / concept model,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,42.0 HP (30.7  kW)) @ 4900 RPM,61.0 Nm (6.2 kgf-m or 45.0 ft.lbs) @ 4900 RPM,120.0 km/h (74.6 mph),,,,Liquid,Belt   (final drive),,,,120/70-R15 ,160/60-R15 ,Double disc. ABS. Floating discs. 4-piston calipers. ,270 mm (10.6 inches),Single disc. ABS. Floating disc. 1-piston floating calipers. ,230.0 kg (507.1 pounds),0.1826 HP/kg,"855 mm (33.7 inches) If adjustable, lowest setting.",2285 mm (90.0 inches),1675 mm (65.9 inches),,Mineral White Metallic,Electric,,,,1-speed,,Steel double loop,26.5°,120 mm (4.7 inches),Single-bridge telescopic forks,100 mm (3.9 inches),Single-sided swing arm/central spring strut,92 mm (3.6 inches),,,LED headlight,,,"8.5 kWh 148V lithium-ion battery. 40 lithium-ion battery cells. Charging 3.5 hours to 80%, with quick charger 65 min. ",Permanent-magnet liquid-cooled synchronous motor,,Cast aluminum,,,1150 mm (45.3 inches),947 mm (37.3 inches),,"12 V / 5 Ah, maintenance-free secondary battery.",,10.25” TFT display including BMW Motorrad Connectivity,,,,,,,,,,,,,,,,,,,,,,
Torrot Muvi City L1e,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,3.5 HP (2.6  kW)) @ 3000 RPM,35.0 Nm (3.6 kgf-m or 25.8 ft.lbs),45.0 km/h (28.0 mph),,,,Air,Belt   (final drive),,,,90/80-16 ,90/80-16 ,Single disc. CBS,190 mm (7.5 inches),Single disc,,,,1855 mm (73.0 inches),,,"White, black, grey",Electric,,,,1-speed,,Tubular stell,27.6°,,"Telescopic fork, hydraulic",,Side monoshock,,,85.0 kg (187.4 pounds),,,,2 48V 25Ah LiMnCo batteries. Range 103 km in Eco mode. Charging 2.5-5 hours depending on charger. Smartphone connectivity. Spanish brand.,Torrot brushless 48V motor,,Aluminium alloy rims,,,,,,,,Display LCD 4´ 320x240,,,,,,,,,,,,,,,,,,,,,,
AJP SPR 510R,2021,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",501.0 ccm (30.57 cubic inches),"Single cylinder, four-stroke",38.0 HP (27.7  kW)),,,12.9:1,97.0 x 67.5 mm (3.8 x 2.7 inches),Injection. Get fuel injection 45mm,Oil & air,Chain   (final drive),,,,90/90-21 ,140/80-18 ,Single disc. 2-piston calipers,220 mm (8.7 inches),Single disc. Single-piston caliper,119.0 kg (262.4 pounds),0.3193 HP/kg,"960 mm (37.8 inches) If adjustable, lowest setting.",,1450 mm (57.1 inches),9.50 litres (2.51 US gallons),White/red/black,Electric,4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,,Aluminum/steel/Composite,,,ZF Sachs Ø48mm fully adjustable,300 mm (11.8 inches),ZF Sachs progressive system with reservatory fully adjustable,300 mm (11.8 inches),,,,,,Portuguese made bike. ,,,,,,,,355 mm (14.0 inches),,Wet sump,,,,,,,,,,,,,,,,,,,,,,,
Triumph Tiger 1200 XRt,2021,Allround," 3.3  Check out the detailed rating of reliability, maintenance costs, value for money, etc. Compare with any other motorcycle.",1215.0 ccm (74.14 cubic inches),"In-line three, four-stroke",141.0 HP (102.9  kW)) @ 9350 RPM,122.0 Nm (12.4 kgf-m or 90.0 ft.lbs) @ 7600 RPM,,11.0:1,85.0 x 71.4 mm (3.3 x 2.8 inches),Injection,Liquid,Shaft drive (cardan)   (final drive),4.90 litres/100 km (20.4 km/l or 48.00 mpg),113.7 CO2 g/km. (CO2 - Carbon dioxide emission) ,,120/70-R19 ,170/60-R17 ,"Double disc. Floating discs, radially mounted monobloc Brembo calipers, 4-piston, switchable ABS",282 mm (11.1 inches),"Single disc. Nissin 2-piston sliding caliper, Switchable ABS",243.0 kg (535.7 pounds),0.5802 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",,1520 mm (59.8 inches),20.00 litres (5.28 US gallons),"Crystal White, Korosi Red",Electric,4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,Wet. multi-plate,"Tubular steel trellis frame. Single-­sided, cast aluminium alloy swing arm with shaft drive.",23.2°,100 mm (3.9 inches),"WP 48 mm upside down forks, electronically adjustable damping,",190 mm (7.5 inches),"WP monoshock, electronically adjustable semi active damping,",193 mm (7.6 inches),Heated rider and passenger seat,,,,24 months unlimited mileage,Ride by wire. Windscreen.,,"Stainless steel 3 into 1, side mounted stainless steel silencer",Cast aluminium alloy 10-spoke,"855 mm (33.7 inches) If adjustable, highest setting.",,1540 mm (60.6 inches),930 mm (36.6 inches),,,,"TFT multi­functional instrument pack with digital speedometer, trip computer, digital tachometer, gear position indicator, fuel gage, service indicator, ambient temperature, clock and six rider modes.",,4.00 litres (4.23 US quarts),,,,,,,,,,,,,,,,,,,,
Vento Hyper 280,2021,Naked bike,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,280.0 ccm (17.09 cubic inches),"Single cylinder, four-stroke",25.4 HP (18.5  kW)),,,,,Carburettor,Oil & air,Chain   (final drive),,,,110/70-R17 ,150/55-R17 ,Single disc. Hydraulic,,Single disc. Hydraulic,,,"780 mm (30.7 inches) If adjustable, lowest setting.",1970 mm (77.6 inches),,13.00 litres (3.43 US gallons),White/orange/black,Electric,,,,6-speed,,Steel,,,Inverted forks,,Monoshocks,,,144.0 kg (317.5 pounds),,,,,,,,,,,773 mm (30.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Access MiniSport 110,2021,ATV,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,107.0 ccm (6.53 cubic inches),"Single cylinder, four-stroke",6.8 HP (5.0  kW)) @ 8000 RPM,,95.0 km/h (59.0 mph),,,,Air,Chain   (final drive),,,,,,Single disc,,Single disc,95.0 kg (209.4 pounds),0.0720 HP/kg,"610 mm (24.0 inches) If adjustable, lowest setting.",1360 mm (53.5 inches),,,Red/white,Electric,,,,Automatic,,Steel,,,,,,,,,,,,Intended for children. Sold in Germany.,,,7 inch wheels,,,910 mm (35.8 inches),875 mm (34.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,
Sherco 500 SEF Racing,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,478.2 ccm (29.18 cubic inches),"Single cylinder, four-stroke",,,,,98.0 x 63.4 mm (3.9 x 2.5 inches),Injection. Synerject digital electronic injection,Liquid,Chain   (final drive),,,,1.60-21 ,2.15-18 ,Single disc. Brembo,220 mm (8.7 inches),Single disc. Brembo,,,"950 mm (37.4 inches) If adjustable, lowest setting.",,1480 mm (58.3 inches),9.70 litres (2.56 US gallons),Blue/white/green,Electric,4,Double Overhead Cams/Twin Cam (DOHC),,6-speed,"Hydraulic, multidisc in oil bath",Chrome-Molybdenum steel semi-perimeter,,,"WP 48mm telescopic fork, rebound and compression adjustable",300 mm (11.8 inches),"WP Monoshock progressive rear suspension with aluminum control rods, adjustable for high and low speed compression and spring pre-load.",330 mm (13.0 inches),,,,,,Spanish brand.,Sherco engine,Inox pipe with catalytic aluminium silencer,Aluminum rim with Michelin Enduro Competition tube-type tire,,Gears in primary drive secondary drive with chain,,,355 mm (14.0 inches),12 V / 4Ah Yuasa battery. ,Dry sump,,,,,,,,,,,,,,,,,,,,,,,
Energica Ego Plus RS,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,,Electric,143.5 HP (104.7  kW)),215.0 Nm (21.9 kgf-m or 158.6 ft.lbs) @ 8211 RPM,241.4 km/h (150.0 mph),,,,Oil & air,Chain   (final drive),,,,120/70-ZR17 ,180/55-ZR17 ,Double disc. Brembo. Floating discs. Four-piston calipers. ABS.,240 mm (9.4 inches),Single disc. Brembo. Two-piston calipers. ABS.,,,"810 mm (31.9 inches) If adjustable, lowest setting.",2140 mm (84.3 inches),1465 mm (57.7 inches),,"Rosso Corsa, Asteroid Grey, Kit Color Sport Black",Electric,,,,,,Steel Tubular Trellis,,,"Marzocchi  43 mm, Adjustable Rebound and Compression Damping, Spring Preload",,"Bitubo Rear Mono Shock Adjustable Rebound, Spring Preload",,,,,,,"Lithium polymer battery. Range combined driving 230 km. Max 21.5 kWh / Nominal 18.9 kWh charging. 4 Riding Modes: Eco, Standard, Wet, Sport. Traction control. Cruise control.",Permanent Magnet AC,,Cast Aluminium. Pirelli Diablo Rosso III tires.,,Regina (15/44) 525 O-Ring Chain,1166 mm (45.9 inches),870 mm (34.3 inches),,,,"Cobo, 4.3” TFT Colour Display, integrated GPS receiver and Bluetooth communication.",,,,,,,,,,,,,,,,2.60 seconds,,,,,,
Suzuki Raider R150,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,147.3 ccm (8.99 cubic inches),"Single cylinder, four-stroke",15.4 HP (11.3  kW)) @ 9500 RPM,12.4 Nm (1.3 kgf-m or 9.1 ft.lbs) @ 8500 RPM,,10.2:1,62.0 x 48.8 mm (2.4 x 1.9 inches),Carburettor,Liquid,,,,,70/90-17 ,80/90-17 ,Single disc,,Single disc,106.0 kg (233.7 pounds),0.1455 HP/kg,"764 mm (30.1 inches) If adjustable, lowest setting.",1940 mm (76.4 inches),1280 mm (50.4 inches),4.90 litres (1.29 US gallons),"Black /Green, Matte Black, Black/Red,Black/Gold, Matte Gray, Motogp Blue",Electric & kick,,Double Overhead Cams/Twin Cam (DOHC),CDI,,Hydraulic With multilayer,Underbone,,,"Telescopic, coil spring, oil damped",,Swingarm with Monoshock,,,,,,,Sold in Asia.,,,,,,941 mm (37.0 inches),652 mm (25.7 inches),140 mm (5.5 inches),,Wet sump,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Ninja 650L SE,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,649.0 ccm (39.60 cubic inches),"Twin, four-stroke",67.3 HP (49.1  kW)) @ 8000 RPM,66.0 Nm (6.7 kgf-m or 48.7 ft.lbs) @ 6500 RPM,,10.8:1,83.0 x 60.0 mm (3.3 x 2.4 inches),Injection. DFI® with dual 38mm Keihin throttle bodies,Liquid,Chain   (final drive),,,,120/70-17 ,160/60-17 ,Double disc. Petal discs and two-piston calipers. ABS.                                  ,220 mm (8.7 inches),Single disc. Petal disc and single piston caliper. ABS.                               ,,,"790 mm (31.1 inches) If adjustable, lowest setting.",2055 mm (80.9 inches),1410 mm (55.5 inches),15.00 litres (3.96 US gallons),Metallic spark Black/ Pearl Nightshade Teal,Electric,2,Double Overhead Cams/Twin Cam (DOHC),TCBI with digital advance,6-speed,,"Trellis, high-tensile steel",24.0°,99 mm (3.9 inches),41mm hydraulic telescopic fork,124 mm (4.9 inches),Horizontal back-link with adjustable spring preload,130 mm (5.1 inches),,192.0 kg (423.3 pounds),Dual headlamp,,24 month warranty unlimited mileage,,,,,,O-Ring Chain,1135 mm (44.7 inches),740 mm (29.1 inches),130 mm (5.1 inches),,"Forced lubrication, semi-dry sump",Analogue-style tachometer and multi-function dual-window LCD screen,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TC 65,2021,Cross / motocross,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,64.9 ccm (3.96 cubic inches),"Single cylinder, two-stroke",,,,,45.0 x 40.8 mm (1.8 x 1.6 inches),,Liquid,Chain   (final drive),,,,,,"Single disc. Hydraulic, wave disk",160 mm (6.3 inches),"Single disc. Hydraulic, wave disk",53.0 kg (116.8 pounds),,"750 mm (29.5 inches) If adjustable, lowest setting.",,,3.50 litres (0.92 US gallons),White/blue/yellow,Kick,,,AET digital EMS,6-speed,Hydraulic,Chrome-molybdenum steel central-tube,24.0°,,"XACT 35 WP Upside-Down fork, Ø 35 mm",215 mm (8.5 inches),XACT WP PDS mono shock,270 mm (10.6 inches),,,,,2 Years,,Reed valve,,"Black anodised, aluminium rims. MAXXIS tyres.",,,,,280 mm (11.0 inches),,Mixture oil lubrication,,,,,,,,,,,,,,,,,,,,,,,
Fantic XEF 125 Performance,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",14.8 HP (10.8  kW)) @ 9750 RPM,11.8 Nm (1.2 kgf-m or 8.7 ft.lbs) @ 6750 RPM,,,52.0 x 58.7 mm (2.0 x 2.3 inches),Carburettor,Liquid,Chain   (final drive),1.80 litres/100 km (55.6 km/l or 130.68 mpg),41.8 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,90/90-21 ,120/90-18 ,Single disc. Wave disc,220 mm (8.7 inches),Single disc. Wave disc,112.0 kg (246.9 pounds),0.1317 HP/kg,"915 mm (36.0 inches) If adjustable, lowest setting.",2100 mm (82.7 inches),1420 mm (55.9 inches),7.50 litres (1.98 US gallons),"Red/white/blue, Yellow/Black",Electric,4,Single Overhead Cams (SOHC),Digital,6-speed,Wet  multi-disc,"Perimeter steel CrMo. Subframe: Removable in steel. Swing arm: Steel, progressive link.",,,Fantic FRS competition ø41mm upside ,,Fantic FRS 125 Preload regulation,,,,,,,,,Anodized aluminium silencer by BigOne,"Aluminium, anodized black, wire spoked",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XMAX 300 ,2021,Scooter,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,292.0 ccm (17.82 cubic inches),"Single cylinder, four-stroke",27.6 HP (20.2  kW)) @ 7250 RPM,29.0 Nm (3.0 kgf-m or 21.4 ft.lbs) @ 5750 RPM,,10.9:1,70.0 x 75.9 mm (2.8 x 3.0 inches),Injection,Liquid,Belt   (final drive),3.00 litres/100 km (33.3 km/l or 78.41 mpg),69.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,120/70-15 ,140/70-14 ,Single disc. Hydraulic. ABS.,245 mm (9.6 inches),Single disc. Hydraulic. ABS.,,,"795 mm (31.3 inches) If adjustable, lowest setting.",2185 mm (86.0 inches),1540 mm (60.6 inches),13.00 litres (3.43 US gallons),"Icon Grey, Sonic Grey",Electric,4,Single Overhead Cams (SOHC),TCI,Automatic,,Underbone,,,Telescopic forks,110 mm (4.3 inches),Unit Swing,84 mm (3.3 inches),,180.0 kg (396.8 pounds),"Dual LED front lights, LED taillight",,,Traction Control. Keyless. Windscreen.,,,,,V-Belt Automatic,1415 mm (55.7 inches),775 mm (30.5 inches),135 mm (5.3 inches),,Wet sump,LCD instrument panel,,1.30 litres (1.37 US quarts),,,,,,,,,,,,,,,,,,,,
Ducati Panigale V4 SP,2021,Sport,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,1103.0 ccm (67.31 cubic inches),"V4, four-stroke",214.0 HP (156.2  kW)) @ 13000 RPM,124.0 Nm (12.6 kgf-m or 91.5 ft.lbs) @ 9500 RPM,,14.0:1,81.0 x 53.5 mm (3.2 x 2.1 inches),Injection. Electronic fuel injection system. Twin injectors per cylinder. Full ride-by-wire elliptical throttle bodies.,Liquid,Chain   (final drive),7.30 litres/100 km (13.7 km/l or 32.22 mpg),169.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 4,120/70-ZR17 ,200/60-ZR17 ,Double disc. ABS. Brembo,245 mm (9.6 inches),Single disc. ABS. Brembo,173.0 kg (381.4 pounds),1.2370 HP/kg,"835 mm (32.9 inches) If adjustable, lowest setting.",,1469 mm (57.8 inches),16.00 litres (4.23 US gallons),Black,Electric,4,Desmodromic valve control,,6-speed,Slipper and self-servo wet multiplate clutch with hydraulic control,Aluminium alloy. Engine is used as a structural chassis element. Trellis subframe.,24.5°,100 mm (3.9 inches),Öhlins NIX30 43 mm fully adjustable fork with TiN treatment. Electronic compression and rebound damping adjustment.,120 mm (4.7 inches),Fully adjustable Ohlins TTX36 unit. Electronic compression and rebound damping adjustment,130 mm (5.1 inches),,194.0 kg (427.7 pounds),LED headlight,,24 months unlimited mileage,"Riding Modes, Power Modes, Cornering ABS EVO, Ducati Traction Control (DTC) EVO 3, Ducati Wheelie Control (DWC) EVO, Ducati Slide Control (DSC), Engine Brake Control (EBC) EVO,  Auto tyre calibration.",L-twin,4-2-1-2 system with 2 catalytic converter and 2 lambda probes.,5-split spoke carbon fiber rims. Pirelli Diablo Supercorsa SP tires.,,,,,,,,"Digital unit with TFT colour display  rev counter, speed, gear selected, odometer, etc.",,,,,,,,,,,,16/41 (front/rear),,,,,,"12,000 km/7,500 mi/12 months",,,,
Kawasaki KX250 XC,2021,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 1 vote to show the rating.,249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,,14.1:1,78.0 x 52.2 mm (3.1 x 2.1 inches),Injection. DFI® with 44mm Keihin throttle body and dual injectors,Liquid,Chain   (final drive),,,,80/100-21 ,100/100-18 ,Single disc. Petal disc with dual-piston caliper,240 mm (9.4 inches),Single disc. Petal disc with single-piston caliper,104.4 kg (230.2 pounds),,"945 mm (37.2 inches) If adjustable, lowest setting.",2169 mm (85.4 inches),1481 mm (58.3 inches),6.21 litres (1.64 US gallons),Lime Green,Electric,,Double Overhead Cams/Twin Cam (DOHC),Digital DC-CDI,5-speed,Coned disc-spring hydraulic,Aluminum perimeter,27.8°,122 mm (4.8 inches),"Kayaba 48mm Inverted, Coilspring Fork with Adjustable Compression and Rebound Damping",315 mm (12.4 inches),"Kayaba Uni-Trak® w/ Adjustable Preload, Adjustable Dual-range (Low/High Speed) Compression Damping, Adjustable Rebound Damping",315 mm (12.4 inches),,109.0 kg (240.2 pounds),,,,Launch Control.,,,Dunlop Geomax AT81 tires,,,1260 mm (49.6 inches),820 mm (32.3 inches),330 mm (13.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,
Janus Halcyon 450,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,445.0 ccm (27.15 cubic inches),"Single cylinder, four-stroke",30.0 HP (21.9  kW)) @ 7500 RPM,,144.8 km/h (90.0 mph),10.1:1,,Carburettor. Electronic injection,Air,Chain   (final drive),,,,4.00-18 ,4.50-18 ,Double disc. Two-piston caliper Brembo,220 mm (8.7 inches),Single disc. Single Piston caliper brembo,160.6 kg (354.0 pounds),0.1868 HP/kg,"762 mm (30.0 inches) If adjustable, lowest setting.",2184 mm (86.0 inches),1422 mm (56.0 inches),7.57 litres (2.00 US gallons),"British Racing Green, Vintage Red, Aga Cream, Black, American Blue, Charcoal, Olive, Cardinal Red",Electric,,Single Overhead Cams (SOHC),CDI,,Wet multiplate,DOM tubular steel cradle,,,Proprietary dual progressive shock leading-link,,Proprietary cantilever transom with dual progressive coil-over Ikon shocks,,,,,,2-year unlimited-mileage warranty,,,,,,,1041 mm (41.0 inches),787 mm (31.0 inches),,,"Dry sump with gerotor pump, cartridge filter, and oil cooler",,,,,,,,,,,,,,,,,,,,,,,
Yamaha SZ,2021,Allround,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,149.3 ccm (9.11 cubic inches),"Single cylinder, four-stroke",11.9 HP (8.7  kW)) @ 7500 RPM,12.8 Nm (1.3 kgf-m or 9.4 ft.lbs) @ 6000 RPM,,9.5:1,57.3 x 57.9 mm (2.3 x 2.3 inches),Carburettor,Air,Chain   (final drive),,,,2.75-17 ,100/90-17 ,Single disc. Hydraulic. ,130 mm (5.1 inches),Expanding brake (drum brake),,,"800 mm (31.5 inches) If adjustable, lowest setting.",1990 mm (78.3 inches),1320 mm (52.0 inches),14.00 litres (3.70 US gallons),"Matte Blue, Matte Black",Electric & kick,,Single Overhead Cams (SOHC),CDI,5-speed,"Wet, multiple-disc","Diamond, tubular",26.0°,99 mm (3.9 inches),Telescopic Hydraulic,,Swingarm,,,133.0 kg (293.2 pounds),12V 35/25W Halogen bulb,,,Sold in India.,Forward-inclined cylinder,,,,,1100 mm (43.3 inches),750 mm (29.5 inches),165 mm (6.5 inches),12V-5AH battery.,Wet sump,,,1.00 litres (1.06 US quarts),,,,,,,,,,,,,,,,,,,,
Yamaha NMAX 125,2021,Scooter," 3.3  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",125.0 ccm (7.63 cubic inches),"Single cylinder, four-stroke",12.2 HP (8.9  kW)) @ 8000 RPM,11.2 Nm (1.1 kgf-m or 8.3 ft.lbs) @ 6000 RPM,,11.2:1,52.0 x 58.7 mm (2.0 x 2.3 inches),Injection,Liquid,Belt   (final drive),2.20 litres/100 km (45.5 km/l or 106.92 mpg),51.0 CO2 g/km. (CO2 - Carbon dioxide emission) ,Euro 5,110/70-13 ,130/70-13 ,Single disc. Hydraulic. ABS.,230 mm (9.1 inches),Single disc. ABS.,,,"765 mm (30.1 inches) If adjustable, lowest setting.",1935 mm (76.2 inches),1340 mm (52.8 inches),7.10 litres (1.88 US gallons),"Matt Grey, Phantom Blue, Milky White",Electric,4,Single Overhead Cams (SOHC),TCI,Automatic,,,,,Telescopic fork,100 mm (3.9 inches),"Unit Swing, monoshock",85 mm (3.3 inches),,131.0 kg (288.8 pounds),LED headlights,Underseat storage,,Traction Control.,,,,,V-Belt Automatic,1160 mm (45.7 inches),740 mm (29.1 inches),125 mm (4.9 inches),,Wet sump,LCD instruments,,,,,,,,,,,,,,,,,,,,,,
