Model,Year,Category,Rating,Displacement,Engine type,Power,Torque,Bore x stroke,Gearbox,Transmission type,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Power/weight ratio,Seat height,Overall length,Overall width,Fuel capacity,Compression,Valves per cylinder,Fuel system,Fuel control,Cooling system,Front wheel travel,Rear wheel travel,Diameter,Overall height,Wheelbase,Reserve fuel capacity,Ground clearance,Color options,Rake (fork angle),Front suspension,Rear suspension,Comments,Ignition,Lubrication system,Clutch,Frame type,"Weight incl. oil, gas, etc",Starter,Top speed,Oil capacity,Engine oil,Oil filter,Brake fluid,Coolant,Battery,Spark plugs,Idle speed,Sprockets,Tire pressure front,Tire pressure rear,Fork tube size,Alternate seat height,Trail,Belt teeth,Belt width,Pulley teeth,Max RPM,Engine details,0-100 km/h (0-62 mph),1/4 mile (0.4 km),"60-140 km/h (37-87 mph), highest gear",Driveline,Fuel consumption,Greenhouse gases,Exhaust system,Wheels,Front percentage of weight,Rear percentage of weight,Modifications compared to previous model,Chain size,Chain links
Kawasaki ZX 6 RR,2003,Sport," 4.0  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",111.0 HP (81.0  kW)) @ 13200 RPM,64.4 Nm (6.6 kgf-m or 47.5 ft.lbs) @ 12000 RPM,,,,,,,,161.0 kg (354.9 pounds),0.6894 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",,,18.00 litres (4.76 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1400 mm (55.1 inches),,,"Green, Black, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki JR 80,2003,"Minibike, cross"," 3.4  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",79.0 ccm (4.82 cubic inches),"Single cylinder, two-stroke",,,49.0 x 42.0 mm (1.9 x 1.7 inches),5-speed,Chain   (final drive),2.50-14-4pr ,3.00-12-4pr ,Expanding brake (drum brake),Expanding brake (drum brake),58.0 kg (127.9 pounds),,"685 mm (27.0 inches) If adjustable, lowest setting.",1540 mm (60.6 inches),730 mm (28.7 inches),4.10 litres (1.08 US gallons),6.8:1,,Carburettor,,Air,,,,915 mm (36.0 inches),1050 mm (41.3 inches),,195 mm (7.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki VN 800 Classic,2003,Custom / cruiser," 3.8  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",805.0 ccm (49.12 cubic inches),"V2, four-stroke",54.0 HP (39.4  kW)) @ 7000 RPM,63.7 Nm (6.5 kgf-m or 47.0 ft.lbs) @ 3300 RPM,,,,,,,,235.0 kg (518.1 pounds),0.2298 HP/kg,"705 mm (27.8 inches) If adjustable, lowest setting.",,,15.00 litres (3.96 US gallons),,,,,,,,,,1600 mm (63.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XJ 600 N Diversion,2003,Naked bike," 3.2  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",60.0 HP (43.8  kW)) @ 8500 RPM,54.9 Nm (5.6 kgf-m or 40.5 ft.lbs) @ 7500 RPM,,,,,,,,195.0 kg (429.9 pounds),0.3077 HP/kg,"735 mm (28.9 inches) If adjustable, lowest setting.",,,17.00 litres (4.49 US gallons),,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,1445 mm (56.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XL 125 Varadero,2003,Enduro / offroad," 4.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"V2, four-stroke",15.0 HP (10.9  kW)) @ 11000 RPM,10.5 Nm (1.1 kgf-m or 7.7 ft.lbs) @ 9500 RPM,42.0 x 45.0 mm (1.7 x 1.8 inches),5-speed,Chain   (final drive),100/90-18 ,130/80-17 ,Single disc,Single disc,154.0 kg (339.5 pounds),0.0974 HP/kg,"802 mm (31.6 inches) If adjustable, lowest setting.",2150 mm (84.6 inches),850 mm (33.5 inches),17.50 litres (4.62 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki JR 50,2003,"Minibike, cross"," 3.5  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,,41.0 x 37.8 mm (1.6 x 1.5 inches),,Chain   (final drive),2.50-10-2pr ,2.50-10-2pr ,Expanding brake (drum brake),Expanding brake (drum brake),38.0 kg (83.8 pounds),,"480 mm (18.9 inches) If adjustable, lowest setting.",1245 mm (49.0 inches),595 mm (23.4 inches),2.00 litres (0.53 US gallons),,,Carburettor,,Air,,,,730 mm (28.7 inches),860 mm (33.9 inches),,115 mm (4.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda XR 125 L,2003,Enduro / offroad," 3.7  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"Single cylinder, four-stroke",11.1 HP (8.1  kW)) @ 8500 RPM,10.0 Nm (1.0 kgf-m or 7.4 ft.lbs) @ 7000 RPM,,,,,,,,115.5 kg (254.6 pounds),0.0961 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,12.00 litres (3.17 US gallons),,,,,,,,,,1350 mm (53.1 inches),4.10 litres (1.08 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 200 SX,2003,Cross / motocross," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",193.0 ccm (11.78 cubic inches),"Single cylinder, two-stroke",,,64.0 x 60.0 mm (2.5 x 2.4 inches),6-speed,Chain   (final drive),80/100-21 ,100/90-19 ,Single disc,Single disc,94.8 kg (209.0 pounds),,"925 mm (36.4 inches) If adjustable, lowest setting.",,,7.50 litres (1.98 US gallons),,,Carburettor,,Liquid,300 mm (11.8 inches),335 mm (13.2 inches),220 mm (8.7 inches),,1461 mm (57.5 inches),,390 mm (15.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 950 Duke,2003,Prototype / concept model," 3.9  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",942.0 ccm (57.48 cubic inches),"V2, four-stroke",115.0 HP (83.9  kW)) @ 9500 RPM,96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 7000 RPM,100.0 x 60.0 mm (3.9 x 2.4 inches),6-speed,,120/70-17 ,180/55-18 ,Double disc,Double disc,174.0 kg (383.6 pounds),0.6609 HP/kg,"855 mm (33.7 inches) If adjustable, lowest setting.",,,17.00 litres (4.49 US gallons),11.8:1,,Injection,Double Overhead Cams/Twin Cam (DOHC),Liquid,135 mm (5.3 inches),160 mm (6.3 inches),240 mm (9.4 inches),,1435 mm (56.5 inches),,155 mm (6.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victory Touring Cruiser,2003,Touring," 3.6  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1507.0 ccm (91.96 cubic inches),"V2, four-stroke",,,97.0 x 102.0 mm (3.8 x 4.0 inches),5-speed,Belt   (final drive),MT90BI6-71 ,160/80-75 ,Double disc. FLOATING ROTAR 4 PISTON CALIPER,Single disc. FLOATING ROTAR 2 PISTON,326.6 kg (720.0 pounds),,"719 mm (28.3 inches) If adjustable, lowest setting.",2489 mm (98.0 inches),1067 mm (42.0 inches),18.92 litres (5.00 US gallons),9.2:1,,Injection,,Oil & air,130 mm (5.1 inches),102 mm (4.0 inches),300 mm (11.8 inches),1544 mm (60.8 inches),1664 mm (65.5 inches),,140 mm (5.5 inches),,30.0°,TELESCOPIC FORK,"SINGLE,MONOTUBE GAS,PRELOAD ADJUSTABLE",,,WET SUMP,WET MULTI-PLATE DIAPHRAGM SPRING,,344.3 kg (759.0 pounds),Electric,,5.60 litres (5.92 US quarts),,,,,,,,,,,,,175 mm (6.9 inches),,,,,,,,,,,,DUAL CROSSOVER,,,,,,
Honda XR 50 R,2003,Cross / motocross," 3.3  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, four-stroke",,,39.0 x 41.4 mm (1.5 x 1.6 inches),5-speed,Chain   (final drive),,,Expanding brake (drum brake),Expanding brake (drum brake),47.0 kg (103.6 pounds),,"550 mm (21.7 inches) If adjustable, lowest setting.",1305 mm (51.4 inches),583 mm (23.0 inches),3.00 litres (0.79 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW K 1200 LT,2003,Touring," 3.4  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1171.0 ccm (71.45 cubic inches),"In-line four, four-stroke",98.0 HP (71.5  kW)) @ 6750 RPM,115.3 Nm (11.8 kgf-m or 85.0 ft.lbs) @ 4750 RPM,,,,,,,,378.0 kg (833.3 pounds),0.2593 HP/kg,"770 mm (30.3 inches) If adjustable, lowest setting.",,,23.40 litres (6.18 US gallons),,,,,,,,,,1633 mm (64.3 inches),,,"Anthracite Metallic, Impala Brown Metallic",,,,,,,,,,,,,,,,,,,,,,,,"800 mm (31.5 inches) If adjustable, highest setting.",,,,,,,,,,,,,,,,,,,
Ducati Monster S4,2003,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",916.0 ccm (55.89 cubic inches),"V2, four-stroke",101.0 HP (73.7  kW)) @ 8750 RPM,92.0 Nm (9.4 kgf-m or 67.9 ft.lbs) @ 7000 RPM,94.0 x 66.0 mm (3.7 x 2.6 inches),6-speed,Chain   (final drive),120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,193.0 kg (425.5 pounds),0.5233 HP/kg,"803 mm (31.6 inches) If adjustable, lowest setting.",2108 mm (83.0 inches),,15.00 litres (3.96 US gallons),11.0:1,4,Injection,Desmodromic valve control,Liquid,130 mm (5.1 inches),148 mm (5.8 inches),245 mm (9.6 inches),800 mm (31.5 inches),1440 mm (56.7 inches),3.50 litres (0.92 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 1200 Bandit,2003,Naked bike," 3.9  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",1157.0 ccm (70.60 cubic inches),"In-line four, four-stroke",,,79.0 x 59.0 mm (3.1 x 2.3 inches),5-speed,Chain   (final drive),120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,220.0 kg (485.0 pounds),,"790 mm (31.1 inches) If adjustable, lowest setting.",2070 mm (81.5 inches),765 mm (30.1 inches),20.00 litres (5.28 US gallons),9.5:1,4,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Air,,,,1220 mm (48.0 inches),1430 mm (56.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GZ 250,2003,Custom / cruiser," 3.5  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",,,72.0 x 61.2 mm (2.8 x 2.4 inches),5-speed,Chain   (final drive),110/90-16 59P ,130/90-15 66P ,Single disc,Expanding brake (drum brake),137.0 kg (302.0 pounds),,"680 mm (26.8 inches) If adjustable, lowest setting.",2160 mm (85.0 inches),815 mm (32.1 inches),14.00 litres (3.70 US gallons),9.0:1,,Carburettor,Single Overhead Cams (SOHC),,,,,1090 mm (42.9 inches),1450 mm (57.1 inches),,125 mm (4.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW R 1100 S,2003,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",1085.0 ccm (66.21 cubic inches),"Two cylinder boxer, four-stroke",98.0 HP (71.5  kW)) @ 7500 RPM,97.6 Nm (10.0 kgf-m or 72.0 ft.lbs) @ 5750 RPM,,,,,,,,229.0 kg (504.9 pounds),0.4279 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,19.00 litres (5.02 US gallons),,,,,,,,,,1487 mm (58.5 inches),,,"Gray, Red, Gray/Mandarin, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 65 SX,2003,"Minibike, cross"," 3.8  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",64.9 ccm (3.96 cubic inches),"Single cylinder, two-stroke",,,45.0 x 40.8 mm (1.8 x 1.6 inches),,Chain   (final drive),60/100-14 ,80/100-12 ,Single disc,Single disc,55.6 kg (122.6 pounds),,"750 mm (29.5 inches) If adjustable, lowest setting.",,,3.40 litres (0.90 US gallons),,,Carburettor,,Liquid,220 mm (8.7 inches),270 mm (10.6 inches),160 mm (6.3 inches),,1137 mm (44.8 inches),,290 mm (11.4 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAS GAS EC 300,2003,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",294.7 ccm (17.98 cubic inches),"Single cylinder, two-stroke",50.6 HP (36.9  kW)) @ 7340 RPM,49.2 Nm (5.0 kgf-m or 36.3 ft.lbs) @ 6890 RPM,72.0 x 72.0 mm (2.8 x 2.8 inches),6-speed,Chain   (final drive),80/100-21 ,120/90-18 ,Single disc. Nissin pump and Nisin single-piston caliper,Single disc. Nissin pump and Nisin single-piston caliper,102.5 kg (226.0 pounds),0.4936 HP/kg,"940 mm (37.0 inches) If adjustable, lowest setting.",2135 mm (84.1 inches),810 mm (31.9 inches),9.50 litres (2.51 US gallons),,,Carburettor. Keihin PWK 38mm,Membrane & power valve,Liquid,282 mm (11.1 inches),320 mm (12.6 inches),220 mm (8.7 inches),1260 mm (49.6 inches),1475 mm (58.1 inches),,340 mm (13.4 inches),Blue,,"Upside-down telescopic, either ø 43mm WP or ø 45mm Marzocchi fork","Progressive monoshock system, multi adjustable, ÖHLINS","- Average fuel consumption based on 60% off/40% on road riding with dealer jetting and the stock Messico pipe.
- Top speed is with factory gearing.
- Overall width feels much narrower than spec.",Kokusan digital CDI Multispark,Premix @ 50:1,"Multidisc in oil bath, hydraulic actuation","Deltabox type built using cromoly, rectangular tubes, aluminum swingarm",,Kick,136.8 km/h (85.0 mph),,,,,,,,,,,,,,,,,,,,,,,,7.12 litres/100 km (14.0 km/l or 33.04 mpg),165.2 CO2 g/km. (CO2 - Carbon dioxide emission) ,Expansion chamber and FMF silencer,,,,"NEW MARZOCCHI FRONT FORK WITH TITANIUM TEATMENT TUBES.
NEW AND STRONGERFRONT AND SPOKES AND NIPPLES.
HIGHER HANDLEBAR.
SWINGING ARM AXLE OF 17.
REAR WHEEL HUB 300 GR. LIGHTER.
NEW REAR BRAKE DISK.
NEW REAR SHOCK SETTING.
NEW GRAFFICKS.
NEW REAR SIDE PANELS
NEW SILENCER.
NEW DIGITAL SPEEDO METER.
HANDGUARDS HEBO.
NEW FRAME GEOMETRY",,
Honda CR 250 R,2003,Cross / motocross," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.3 ccm (15.21 cubic inches),"Single cylinder, two-stroke",,,66.4 x 72.0 mm (2.6 x 2.8 inches),5-speed,Chain   (final drive),80/100-21 ,110/90-19 ,Single disc,Single disc,96.5 kg (212.7 pounds),,"950 mm (37.4 inches) If adjustable, lowest setting.",2190 mm (86.2 inches),823 mm (32.4 inches),7.70 litres (2.03 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati 620 Sport Full-fairing,2003,Sport," 3.8  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",618.0 ccm (37.71 cubic inches),"V2, four-stroke",61.0 HP (44.5  kW)) @ 8750 RPM,54.0 Nm (5.5 kgf-m or 39.8 ft.lbs) @ 6500 RPM,80.0 x 61.5 mm (3.1 x 2.4 inches),5-speed,Chain   (final drive),120/70-ZR17 ,160/60-ZR17 ,Double disc,Single disc,,,"815 mm (32.1 inches) If adjustable, lowest setting.",2030 mm (79.9 inches),,16.00 litres (4.23 US gallons),10.5:1,2,Injection,Desmodromic valve control,Air,120 mm (4.7 inches),136 mm (5.4 inches),245 mm (9.6 inches),1110 mm (43.7 inches),1405 mm (55.3 inches),4.00 litres (1.06 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 125 Drag Star,2003,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",124.0 ccm (7.57 cubic inches),"V2, four-stroke",12.8 HP (9.3  kW)) @ 10000 RPM,9.4 Nm (1.0 kgf-m or 6.9 ft.lbs) @ 8500 RPM,,,,,,,,135.0 kg (297.6 pounds),0.0948 HP/kg,"665 mm (26.2 inches) If adjustable, lowest setting.",,,11.00 litres (2.91 US gallons),,,,Overhead Cams (OHC),,,,,,1495 mm (58.9 inches),,,"Black, Gray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson FLHT Electra Glide Standard,2003,Custom / cruiser," 3.3  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",1449.0 ccm (88.42 cubic inches),"V2, four-stroke",,110.0 Nm (11.2 kgf-m or 81.1 ft.lbs) @ 3100 RPM,95.3 x 101.6 mm (3.8 x 4.0 inches),,Belt   (final drive),,,,,345.0 kg (760.6 pounds),,"744 mm (29.3 inches) If adjustable, lowest setting.",2440 mm (96.1 inches),,18.80 litres (4.97 US gallons),8.8:1,,Carburettor,,Air,,,,,1592 mm (62.7 inches),,130 mm (5.1 inches),Vivid black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki GSF 600 N Bandit,2003,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",77.5 HP (56.6  kW)) @ 10500 RPM,54.1 Nm (5.5 kgf-m or 39.9 ft.lbs) @ 9500 RPM,62.6 x 48.7 mm (2.5 x 1.9 inches),6-speed,Chain   (final drive),120/60-17 ,160/60-17 ,Double disc,Single disc,204.0 kg (449.7 pounds),0.3799 HP/kg,"805 mm (31.7 inches) If adjustable, lowest setting.",2060 mm (81.1 inches),770 mm (30.3 inches),20.00 litres (5.28 US gallons),11.3:1,4,Carburettor,Double Overhead Cams/Twin Cam (DOHC),,,,,,1440 mm (56.7 inches),,135 mm (5.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodge Tomahawk,2003,Prototype / concept model," 3.2  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",8277.0 ccm (505.06 cubic inches),"V10, four-stroke",500.0 HP (365.0  kW)) @ 5600 RPM,712.0 Nm (72.6 kgf-m or 525.2 ft.lbs) @ 4200 RPM,102.4 x 100.6 mm (4.0 x 4.0 inches),2-speed,,,,Double disc,Double disc,,,"737 mm (29.0 inches) If adjustable, lowest setting.",2591 mm (102.0 inches),704 mm (27.7 inches),12.30 litres (3.25 US gallons),9.6:1,2,Injection,Overhead Valves (OHV),Liquid,,,508 mm (20.0 inches),937 mm (36.9 inches),1930 mm (76.0 inches),,76 mm (3.0 inches),,,,,,,,,"Monocoque, engine is central, stressed member","680.4 kg (1,500.0 pounds)",,482.8 km/h (300.0 mph),,,,,,,,,,,,,,,,,,6000,,2.50 seconds,,,,,,,,49.0,51.0,,,
Hartford VR-125 H,2003,Enduro / offroad," 3.2  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",124.5 ccm (7.60 cubic inches),"Single cylinder, four-stroke",,,,,,,,,,124.0 kg (273.4 pounds),,"860 mm (33.9 inches) If adjustable, lowest setting.",,,13.60 litres (3.59 US gallons),,,,,,,,,,1375 mm (54.1 inches),,,White/Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moto Guzzi V11 Le Mans Rosso Corsa,2003,Sport," 3.6  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",1064.0 ccm (64.93 cubic inches),"V2, four-stroke",90.0 HP (65.7  kW)) @ 8200 RPM,94.1 Nm (9.6 kgf-m or 69.4 ft.lbs) @ 5400 RPM,,,,,,,,226.0 kg (498.2 pounds),0.3982 HP/kg,"800 mm (31.5 inches) If adjustable, lowest setting.",,,20.70 litres (5.47 US gallons),,,,,,,,,,1490 mm (58.7 inches),5.00 litres (1.32 US gallons),,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki ZZ-R 600,2003,Sport touring," 4.0  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",599.0 ccm (36.55 cubic inches),"In-line four, four-stroke",100.0 HP (73.0  kW)) @ 12000 RPM,63.7 Nm (6.5 kgf-m or 47.0 ft.lbs) @ 9500 RPM,,,,,,,,195.0 kg (429.9 pounds),0.5128 HP/kg,"780 mm (30.7 inches) If adjustable, lowest setting.",,,18.00 litres (4.76 US gallons),,,,,,,,,,1430 mm (56.3 inches),,,"Silver, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KTM 660 LC4 Rally Factory Replica,2003,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",654.0 ccm (39.91 cubic inches),"Single cylinder, four-stroke",65.0 HP (47.4  kW)) @ 7500 RPM,69.5 Nm (7.1 kgf-m or 51.3 ft.lbs) @ 6000 RPM,102.0 x 80.0 mm (4.0 x 3.1 inches),5-speed,Chain   (final drive),90/90-21 ,140/90-18 ,Single disc,Single disc,162.0 kg (357.1 pounds),0.4012 HP/kg,"980 mm (38.6 inches) If adjustable, lowest setting.",,,48.00 litres (12.68 US gallons),11.5:1,4,Carburettor,,Liquid,295 mm (11.6 inches),320 mm (12.6 inches),220 mm (8.7 inches),,1510 mm (59.4 inches),,320 mm (12.6 inches),,,WP-USD 48 Multi Adjuster,WP - Monoshock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati ST4S,2003,Sport touring," 3.8  See the detailed rating of touring capabilities, reliability, accident risk, etc. Compare with any other motorbike.",996.0 ccm (60.78 cubic inches),"V2, four-stroke",117.0 HP (85.4  kW)) @ 8750 RPM,98.0 Nm (10.0 kgf-m or 72.3 ft.lbs) @ 7000 RPM,98.0 x 66.0 mm (3.9 x 2.6 inches),6-speed,Chain   (final drive),120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,212.0 kg (467.4 pounds),0.5519 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",2070 mm (81.5 inches),,21.00 litres (5.55 US gallons),11.5:1,4,Injection,Desmodromic valve control,Liquid,130 mm (5.1 inches),148 mm (5.8 inches),245 mm (9.6 inches),1180 mm (46.5 inches),1430 mm (56.3 inches),6.00 litres (1.59 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triumph America,2003,Classic," 3.9  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",790.0 ccm (48.21 cubic inches),"Twin, four-stroke",62.0 HP (45.3  kW)) @ 7400 RPM,60.0 Nm (6.1 kgf-m or 44.3 ft.lbs) @ 3500 RPM,86.0 x 68.0 mm (3.4 x 2.7 inches),5-speed,Chain   (final drive),110/80-R 18 ,170/80-R 15 ,Single disc,Single disc,226.0 kg (498.2 pounds),0.2743 HP/kg,"720 mm (28.3 inches) If adjustable, lowest setting.",2424 mm (95.4 inches),955 mm (37.6 inches),16.60 litres (4.39 US gallons),9.2:1,,Carburettor,Double Overhead Cams/Twin Cam (DOHC),Air,,,285 mm (11.2 inches),1184 mm (46.6 inches),1655 mm (65.2 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aprilia ETV 1000 Caponord,2003,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",997.6 ccm (60.87 cubic inches),"V2, four-stroke",98.0 HP (71.5  kW)) @ 8250 RPM,97.1 Nm (9.9 kgf-m or 71.6 ft.lbs) @ 6250 RPM,,,,,,,,215.0 kg (474.0 pounds),0.4558 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,,25.00 litres (6.61 US gallons),,,,,,,,,,1560 mm (61.4 inches),5.00 litres (1.32 US gallons),,"Gray, Red, Blue, Dark Gray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha XVS 650 A Drag Star Classic,2003,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",649.0 ccm (39.60 cubic inches),"V2, four-stroke",39.4 HP (28.8  kW)) @ 6500 RPM,51.0 Nm (5.2 kgf-m or 37.6 ft.lbs) @ 3000 RPM,,,,,,,,230.0 kg (507.1 pounds),0.1713 HP/kg,"710 mm (28.0 inches) If adjustable, lowest setting.",,,16.00 litres (4.23 US gallons),,,,,,,,,,1625 mm (64.0 inches),,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husaberg FS 400 E,2003,Super motard,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,399.0 ccm (24.35 cubic inches),"Single cylinder, four-stroke",,,92.0 x 60.1 mm (3.6 x 2.4 inches),6-speed,Chain   (final drive),,,Single disc,Single disc,111.9 kg (246.7 pounds),,"870 mm (34.3 inches) If adjustable, lowest setting.",,,9.00 litres (2.38 US gallons),12.5:1,4,Carburettor,Overhead Cams (OHC),Liquid,260 mm (10.2 inches),287 mm (11.3 inches),220 mm (8.7 inches),,1490 mm (58.7 inches),,320 mm (12.6 inches),,,WP MXMA 4860-Husaberg Supermotard,WP PDS 5018-Husaberg Supermotard,,,,,"BTR 25CrMo4, heat-treated at +800° C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
