Model,Year,Category,Rating,Displacement,Engine type,Torque,Fuel system,Cooling system,Gearbox,Front tire,Rear tire,Front brakes,Rear brakes,Dry weight,Overall height,Overall length,Overall width,Power,Top speed,Compression,Valves per cylinder,Fuel control,Transmission type,Frame type,Power/weight ratio,Seat height,Ground clearance,Wheelbase,Fuel capacity,Starter,Comments,Bore x stroke,Clutch,Fuel consumption,Greenhouse gases,Exhaust system,Rake (fork angle),"Weight incl. oil, gas, etc",Color options,Ignition,Trail,Front suspension,Rear suspension,Lubrication system,Diameter,Reserve fuel capacity,Modifications compared to previous model,Front wheel travel,Rear wheel travel,Engine details,Oil capacity,Engine oil,Oil filter,Brake fluid,Battery,Spark plugs,Sprockets,Belt teeth,Fork tube size,0-100 km/h (0-62 mph),Front percentage of weight,Rear percentage of weight,Coolant,Idle speed,Chain size,Chain links,Tire pressure front,Tire pressure rear,1/4 mile (0.4 km),Max RPM,Alternate seat height,Electrical,Belt width,Pulley teeth,Driveline,Wheels
Honda VFR 800 Interceptor,2007,Sport," 3.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",781.0 ccm (47.66 cubic inches),"V4, four-stroke",,Injection.  Programmed Fuel Injection [PGM-FI] with automatic enricher circuit,Liquid,6-speed,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,213.2 kg (470.0 pounds),,,,,,11.6:1,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),,,"805 mm (31.7 inches) If adjustable, lowest setting.",,1458 mm (57.4 inches),21.95 litres (5.80 US gallons),Electric,Model ID: VFR800FI,72.0 x 48.0 mm (2.8 x 1.9 inches),,,,,25.3°,,"Candy Dark Red, Pearl Blue/Pearl White/Red",Computer-controlled digital with three-dimensional mapping and electronic advance,100 mm (3.9 inches),43mm HMAS cartridge fork with spring-preload adjustability,Pro Arm single-side swingarm with Pro-Link single HMAS gas-charged shock with seven-position spring-preload and rebound-damping adjustability,,256 mm (10.1 inches),,,109 mm (4.3 inches),119 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Raptor 125,2007,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",124.6 ccm (7.60 cubic inches),"Single cylinder, two-stroke",,Carburettor. Dell’Orto´ PHBH 28 BD,Liquid,6-speed,,,Single disc,Single disc,125.0 kg (275.6 pounds),,1979 mm (77.9 inches),,,,7.4:1,,,Chain   (final drive),Aluminium,,"775 mm (30.5 inches) If adjustable, lowest setting.",,1374 mm (54.1 inches),,Electric,,56.0 x 50.6 mm (2.2 x 2.0 inches),"Wet, multiplate type; mechanic control",,,,,,"Red/black, Grey/black",CDI,,Upside down telescopic hydraulic fork,Sachs progressive with hydraulic shock absorbers,,230 mm (9.1 inches),,,120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jawa-CZ 350 Basic,2007,Sport," 2.7  Check out the detailed rating of racing track capabilities, engine performance, accident risk, etc. Compare with any other bike.",344.0 ccm (20.99 cubic inches),"Twin, two-stroke",32.0 Nm (3.3 kgf-m or 23.6 ft.lbs) @ 4750 RPM,Carburettor,Air,4-speed,,,Single disc,Expanding brake (drum brake),149.0 kg (328.5 pounds),,,,22.8 HP (16.6  kW)) @ 5250 RPM,125.0 km/h (77.7 mph),9.8:1,,,,,0.1530 HP/kg,"820 mm (32.3 inches) If adjustable, lowest setting.",,1370 mm (53.9 inches),17.00 litres (4.49 US gallons),Kick,,58.0 x 65.0 mm (2.3 x 2.6 inches),,,,,,,Red,,,Telescopic forks 150 mm,Telescopic units 80 mm,,160 mm (6.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF 150 F,2007,Enduro / offroad," 3.9  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",149.0 ccm (9.09 cubic inches),"Single cylinder, four-stroke",,,Air,5-speed,70/100-19 ,90/90-16 ,Single disc,Expanding brake (drum brake),101.2 kg (223.0 pounds),,,,,,9.5:1,,Single Overhead Cams (SOHC),Chain   (final drive),,,"826 mm (32.5 inches) If adjustable, lowest setting.",254 mm (10.0 inches),1326 mm (52.2 inches),8.32 litres (2.20 US gallons),Electric & kick,Model ID: CRF150F,57.3 x 57.8 mm (2.3 x 2.3 inches),,,,,26.7°,,Red,CDI,87 mm (3.4 inches),35mm leading-axle Showa fork,Pro-Link Showa single-shock,,240 mm (9.4 inches),,,231 mm (9.1 inches),226 mm (8.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Ducati Sport 1000 Monoposto,2007,Classic," 3.6  See the detailed rating of design and look, engine performance, reliability, fun-factor, etc. Compare with any other bike.",992.0 ccm (60.53 cubic inches),"V2, four-stroke",91.3 Nm (9.3 kgf-m or 67.3 ft.lbs) @ 9300 RPM,"Injection.  Marelli electronic fuel injection, 45 mm throttle body ",Air,6-speed,120/70-R17 ,180/55-R17 ,Double disc,Single disc,179.0 kg (394.6 pounds),,,,90.8 HP (66.3  kW)) @ 8000 RPM,,10.0:1,2,Desmodromic valve control,Chain   (final drive),Tubular steel trellis frame ,0.5072 HP/kg,"825 mm (32.5 inches) If adjustable, lowest setting.",,1425 mm (56.1 inches),15.00 litres (3.96 US gallons),,,94.0 x 71.5 mm (3.7 x 2.8 inches),Dry multiplate with hydraulic control ,,,Black exhaust system with two mufflers r.h. ,24.0°,,"(burnt yellow with black stripe-black-silver) (black with white stripe-black-silver) (red with white and black stripe-black-silver) ,",,,43 mm upside-down fork ,Fully adjustable monoshock absorber on the left side ,,245 mm (9.6 inches),,,120 mm (4.7 inches),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Malaguti F15 Firefox Mechatronic,2007,Scooter," 3.9  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",49.0 ccm (2.99 cubic inches),"Single cylinder, two-stroke",,Carburettor,Liquid,,120/70-12 ,130/70-12 ,Single disc,Single disc,96.0 kg (211.6 pounds),,1780 mm (70.1 inches),695 mm (27.4 inches),,,,,,,,,"820 mm (32.3 inches) If adjustable, lowest setting.",,1268 mm (49.9 inches),8.00 litres (2.11 US gallons),Electric & kick,,,,,,,,,Several multicolored versions.,,,,,,190 mm (7.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagiva Raptor 650,2007,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",645.0 ccm (39.36 cubic inches),"V2, four-stroke",63.5 Nm (6.5 kgf-m or 46.8 ft.lbs) @ 7400 RPM,Injection,Liquid,6-speed,,,Double disc. Bremo,Single disc. Bremo,180.0 kg (396.8 pounds),,2110 mm (83.1 inches),,70.0 HP (51.1  kW)) @ 9000 RPM,,11.5:1,2,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),High strength steel tubular frame,0.3889 HP/kg,"775 mm (30.5 inches) If adjustable, lowest setting.",165 mm (6.5 inches),1438 mm (56.6 inches),,Electric,,81.0 x 62.2 mm (3.2 x 2.5 inches),"Wet, multiplate type; mechanic control.",,,,,,"Steel, Rosso Cagiva, Bat Black, Blue Marine",,,Upside down telescopic hydraulic fork,Progressive shock absorber with adjustable spring preload,,220 mm (8.7 inches),,,120 mm (4.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,
TM Racing MX 450 F,2007,Cross / motocross," 3.0  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",449.2 ccm (27.41 cubic inches),"Single cylinder, two-stroke",,Carburettor. Keihin FCR 41mm,Liquid,5-speed,90/90-21 ,110/90-19 ,Single disc. Nissin pump and Brembo caliper,Single disc. Nissin pump and caliper,,,,,,,,,,Chain   (final drive),Cr-Mo steel Perimetral oval section,,,,,8.00 litres (2.11 US gallons),Kick,,95.0 x 63.4 mm (3.7 x 2.5 inches),Multiple-disk in oil bath with hydraulic control,,,,,,,Kokusan CDI Electronic with variable advance,,Marzocchi USD 50mm ( optional Ohlins 48mm ),Sachs Boge (optional Ohlins ),Dry sump with double rotor pump,245 mm (9.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polini XP 65 R,2007,"Minibike, cross"," 3.0  See the detailed rating of the fun-factor, engine performance, racing track capabilities, etc. Compare with any other bike.",64.9 ccm (3.96 cubic inches),"Single cylinder, two-stroke",,Carburettor,Liquid,6-speed,60/100-14 ,80/100-12 ,Single disc,Single disc,57.0 kg (125.7 pounds),,,,,,14.2:1,,,,Steel,,"780 mm (30.7 inches) If adjustable, lowest setting.",,1145 mm (45.1 inches),3.00 litres (0.79 US gallons),,,45.0 x 40.8 mm (1.8 x 1.6 inches),,,,,,,,,,,,,150 mm (5.9 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UM DTF-110,2007,Enduro / offroad," 3.8  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",107.0 ccm (6.53 cubic inches),"Single cylinder, four-stroke",,,Air,4-speed,,,Single disc,Expanding brake (drum brake),68.5 kg (151.0 pounds),,1600 mm (63.0 inches),,,,9.1:1,,,Chain   (final drive),,,"686 mm (27.0 inches) If adjustable, lowest setting.",,1016 mm (40.0 inches),5.60 litres (1.48 US gallons),Electric & kick,UM is an abbreviation of United Motors.,52.4 x 49.5 mm (2.1 x 1.9 inches),Manual clutch,,,,,,"Blue, Red, Orange, Hot pink",,,Telescopic fork,Single gas absorber,,221 mm (8.7 inches),1.09 litres (0.29 US gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Veli VL50Q-3,2007,"Minibike, sport",Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.0 ccm (2.99 cubic inches),"In-line three, four-stroke",5.5 Nm (0.6 kgf-m or 4.1 ft.lbs) @ 6000 RPM,,Air,Automatic,,,,,60.0 kg (132.3 pounds),710 mm (28.0 inches),1350 mm (53.1 inches),480 mm (18.9 inches),4.3 HP (3.1  kW)) @ 6500 RPM,45.0 km/h (28.0 mph),,,,,,0.0715 HP/kg,,,1065 mm (41.9 inches),,,,,,2.00 litres/100 km (50.0 km/l or 117.61 mpg),46.4 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lem Recreational CX3,2007,Enduro / offroad,Do you know this bike?Click here to rate it. We miss 2 votes to show the rating.,49.8 ccm (3.04 cubic inches),"Single cylinder, two-stroke",,,Air,1-speed,2.00-14 ,3.00-12 ,Single disc,Expanding brake (drum brake),45.4 kg (100.0 pounds),,1575 mm (62.0 inches),,3.2 HP (2.3  kW)),,,,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),Oval steel tube frame,0.0706 HP/kg,"729 mm (28.7 inches) If adjustable, lowest setting.",249 mm (9.8 inches),1080 mm (42.5 inches),2.49 litres (0.66 US gallons),Electric & kick,,1.5 x 0.0 mm (0.1 x  inches),Wet clutch,,,Expansion with silencer,,,Multicolored,Flywheel magneto with coil,,Mechanical front fork,Hydraulic monoshock,,90 mm (3.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOR SM-E 450 Supermotard,2007,Super motard," 3.1  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",444.0 ccm (27.09 cubic inches),"Single cylinder, four-stroke",,Carburettor,Liquid,5-speed,120/70-17 ,150/60-17 ,Single disc,Single disc,122.0 kg (269.0 pounds),,2100 mm (82.7 inches),,,,12.0:1,4,,Chain   (final drive),"Perimetral frame, CrMo, Oval cross-section spars, aluminium rear frame",,"898 mm (35.4 inches) If adjustable, lowest setting.",300 mm (11.8 inches),1485 mm (58.5 inches),9.00 litres (2.38 US gallons),Electric & kick,Removable gearbox,97.0 x 71.0 mm (3.8 x 2.8 inches),,,,,,133.0 kg (293.2 pounds),,Digital electronic oil bath,,"Reversed Paioli-Kayaba fork, Ø 46 mm,","Single progressive hydraulic Öhlins shock absorber, low-high speed adjustable preload extension and compression",,220 mm (8.7 inches),,,265 mm (10.4 inches),275 mm (10.8 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Honda CRF 230 F,2007,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",223.0 ccm (13.61 cubic inches),"Single cylinder, four-stroke",,,Air,6-speed,80/100-21 ,100/90-18 ,Single disc,Expanding brake (drum brake),108.0 kg (238.0 pounds),,,,,,9.0:1,,Single Overhead Cams (SOHC),Chain   (final drive),,,"866 mm (34.1 inches) If adjustable, lowest setting.",297 mm (11.7 inches),1374 mm (54.1 inches),8.32 litres (2.20 US gallons),Electric & kick,Model ID: CRF230F,65.5 x 66.2 mm (2.6 x 2.6 inches),,,,,27.3°,,Red,CDI,112 mm (4.4 inches),37mm leading-axle Showa fork,Pro-Link Showa single-shock with spring-preload adjustability,,240 mm (9.4 inches),,,241 mm (9.5 inches),229 mm (9.0 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
UM V2C-650S,2007,Custom / cruiser," 3.7  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",647.0 ccm (39.48 cubic inches),"V2, four-stroke",,,Liquid,5-speed,120/70-ZR18 ,180/55-ZR17 ,Double disc,Single disc,230.0 kg (507.0 pounds),,2395 mm (94.3 inches),823 mm (32.4 inches),,,11.5:1,4,Double Overhead Cams/Twin Cam (DOHC),Belt   (final drive),,,"706 mm (27.8 inches) If adjustable, lowest setting.",,,,Electric,UM is an abbreviation of United Motors.,85.1 x 62.0 mm (3.4 x 2.4 inches),,,,Sport tuned 2 into 1 exhaust,,,"Black, Silver, Orange",C.D.I.,,Telescopic fork,Swingarm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benelli Velvet 250,2007,Scooter," 3.0  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",249.0 ccm (15.19 cubic inches),"Single cylinder, four-stroke",23.0 Nm (2.3 kgf-m or 17.0 ft.lbs) @ 5750 RPM,,Liquid,,120/70-13 ,140/70-12 ,Single disc,Single disc,,1290 mm (50.8 inches),1910 mm (75.2 inches),760 mm (29.9 inches),19.7 HP (14.4  kW)) @ 6500 RPM,,,2,,,Steel tube framework,,"820 mm (32.3 inches) If adjustable, lowest setting.",,1400 mm (55.1 inches),,,,,,,,,,146.0 kg (321.9 pounds),,,,Telegabel 97 mm,"Impulse sentence rocker, two shock struts 90 mm",,220 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Night Max,2007,Scooter," 3.4  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",499.0 ccm (30.45 cubic inches),"Twin, four-stroke",45.0 Nm (4.6 kgf-m or 33.2 ft.lbs) @ 4600 RPM,Injection.  Electronic Fuel Injection,Liquid,,120/70-M14 ,160/60-M15 ,Double disc,Single disc,208.0 kg (458.6 pounds),1410 mm (55.5 inches),2235 mm (88.0 inches),775 mm (30.5 inches),42.9 HP (31.3  kW)),,11.0:1,,Double Overhead Cams/Twin Cam (DOHC),Belt   (final drive),Diamond shaped,0.2063 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",130 mm (5.1 inches),1575 mm (62.0 inches),14.00 litres (3.70 US gallons),Electric,,66.0 x 73.0 mm (2.6 x 2.9 inches),"Wet, multiple-disc automatic",,,,,,,T.C.I.,,Telescopic Fork,Swingarm,Dry sump,267 mm (10.5 inches),,,120 mm (4.7 inches),117 mm (4.6 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta Brutale 910R,2007,Naked bike," 4.0  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",908.0 ccm (55.41 cubic inches),"In-line four, four-stroke",96.0 Nm (9.8 kgf-m or 70.8 ft.lbs) @ 7900 RPM,Injection. Mulitpoint electronic injection,Oil & air,6-speed,120/70-ZR17 ,190/55-ZR17 ,Double disc,Single disc,185.0 kg (407.9 pounds),,2007 mm (79.0 inches),,135.0 HP (98.6  kW)),257.5 km/h (160.0 mph),13.0:1,4,Double Overhead Cams/Twin Cam (DOHC),Chain   (final drive),CrMo Steel tubular trellis (TIG welded) and aluminium alloy,0.7299 HP/kg,,135 mm (5.3 inches),1411 mm (55.6 inches),15.14 litres (4.00 US gallons),,,75.9 x 43.2 mm (3.0 x 1.7 inches),"Wet, multiplate",,,,,,,,102 mm (4.0 inches),Upside-down telescopic hydraulic fork with rebound-compression damping and spring preload adjustment,"Progressive, single shock absorber with rebound compression damping and spring preload",,210 mm (8.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,12000,,,,,,
Diamo Turista 260,2007,Scooter," 3.7  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",258.0 ccm (15.74 cubic inches),"Single cylinder, four-stroke",,Carburettor,Liquid,Automatic,110/90-12 ,110/90-12 ,Single disc,Single disc,167.8 kg (370.0 pounds),,,,18.4 HP (13.4  kW)),128.7 km/h (80.0 mph),,,Single Overhead Cams (SOHC),Belt   (final drive),,0.1096 HP/kg,"737 mm (29.0 inches) If adjustable, lowest setting.",,1549 mm (61.0 inches),10.97 litres (2.90 US gallons),Electric & kick,Produced by Linhai owned by Yamaha.,,,3.13 litres/100 km (31.9 km/l or 75.15 mpg),72.6 CO2 g/km. (CO2 - Carbon dioxide emission) ,,,,,CDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha AG 200 E,2007,Enduro / offroad," 3.4  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",196.0 ccm (11.96 cubic inches),"Single cylinder, two-stroke",,,Air,6-speed,,,Single disc,Single disc,112.0 kg (246.9 pounds),1110 mm (43.7 inches),2135 mm (84.1 inches),930 mm (36.6 inches),,,9.5:1,,Single Overhead Cams (SOHC),Chain   (final drive),Alu semi-double cradle,,"998 mm (39.3 inches) If adjustable, lowest setting.",388 mm (15.3 inches),1345 mm (53.0 inches),8.00 litres (2.11 US gallons),Electric & kick,For agricultural use in the Australian market.,67.0 x 55.7 mm (2.6 x 2.2 inches),,,,,,,,CDI,,,,Wet sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha Majesty 125,2007,Scooter," 3.1  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",124.7 ccm (7.61 cubic inches),"Single cylinder, four-stroke",9.4 Nm (1.0 kgf-m or 6.9 ft.lbs) @ 7500 RPM,Carburettor,Liquid,,120/70-12 ,130/70-12 ,Single disc,Single disc,134.0 kg (295.4 pounds),1285 mm (50.6 inches),2030 mm (79.9 inches),745 mm (29.3 inches),11.4 HP (8.3  kW)) @ 9000 RPM,,,,,,,0.0850 HP/kg,"774 mm (30.5 inches) If adjustable, lowest setting.",102 mm (4.0 inches),1480 mm (58.3 inches),10.50 litres (2.77 US gallons),Electric,,52.0 x 58.6 mm (2.0 x 2.3 inches),Automatic centrifugal,,,,,,,Electronic (CDI),,Hydraulic telescopic fork,Hydraulic unit swing,Wet Sump,190 mm (7.5 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gilera Fuoco 500ie,2007,Prototype / concept model," 3.6  See the detailed rating of design and look, fun-factor, etc. Compare with any other motorcycle.",492.7 ccm (30.06 cubic inches),"Single cylinder, four-stroke",42.2 Nm (4.3 kgf-m or 31.1 ft.lbs) @ 5500 RPM,,Liquid,Automatic,120/70-12 ,140/70-14 ,"Double disc. Stainless steel double disk, Ø 240 mm, two-piston caliper","Single disc. Stainless steel disk, Ø 280 mm, floating two-piston caliper",244.0 kg (537.9 pounds),,2160 mm (85.0 inches),775 mm (30.5 inches),40.0 HP (29.2  kW)) @ 7250 RPM,145.0 km/h (90.1 mph),10.0:1,,Single Overhead Cams (SOHC),,Double cradle trellis made of high strength steel tubes,0.1639 HP/kg,"785 mm (30.9 inches) If adjustable, lowest setting.",,1550 mm (61.0 inches),12.00 litres (3.17 US gallons),Electric,,94.0 x 71.0 mm (3.7 x 2.8 inches),Dry centrifugal type with damping plugs,,,,,,,Electronic inductive discharge and variable spark advance in electronic unit with electronic immobilizer. Fuel pump shutoff when bike tips over. Two spark plugs.,,"Parallelogram composed of four aluminium arms supporting two steering tubes, cantilevered suspension. Travel: 85 mm. Electro-hydraulic suspension locking system.",Oscillating engine fixed to the frame with a swingarm and two dual effect hydraulic shock absorbers with four-position spring preload. Travel: 110 mm,,280 mm (11.0 inches),,,85 mm (3.3 inches),110 mm (4.3 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
MV Agusta Brutale 750 America,2007,Naked bike," 3.4  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",748.9 ccm (45.70 cubic inches),"In-line four, four-stroke",,Injection. Multipoint electronic injection,Liquid,6-speed,120/65-ZR17 ,190/50-ZR17 ,Double disc,Single disc,,,,,125.3 HP (91.4  kW)) @ 12500 RPM,,12.0:1,,Double Overhead Cams/Twin Cam (DOHC),,CrMo Steel tubular trellis and magnesium alloy,,,,1414 mm (55.7 inches),,Electric,Limted edition of 300 bikes.,,"Wet, multi-plate",,,,,,,,98 mm (3.9 inches),Upside-down telescopic hydraulic fork with rebound-compression damping and spring preload adjustment,"Progressive, single shock absorber with rebound compression damping and spring preload",,221 mm (8.7 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Husqvarna TE250,2007,Enduro / offroad," 3.6  Check out the detailed rating of off-road capabilities, engine performance, maintenance cost, etc. Compare with any other bike.",249.5 ccm (15.22 cubic inches),"Single cylinder, four-stroke",,Carburettor.  37 mm Keihin FCR,Liquid,6-speed,,,Single disc,Single disc,105.5 kg (232.6 pounds),,,,,,,,Double Overhead Cams/Twin Cam (DOHC),,,,,,,,,Street legal.,76.0 x 55.0 mm (3.0 x 2.2 inches),Wet / Multiplate,,,,,,Red/white,,,Marzoochi,Sachs,,240 mm (9.4 inches),,The new automatic decompression system makes the kick starting much easier. The suspension system has new calibrations to improve the smoothness and the feeling of the bike. To make the motorcycles safe a new Brembo rear brake pump was mounted with integrated tank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yamaha FZ6 Fazer ABS,2007,Naked bike," 3.5  See the detailed rating of engine performance, design and look, accident risk, etc. Compare with any other motorcycle.",600.0 ccm (36.61 cubic inches),"In-line four, four-stroke",51.6 Nm (5.3 kgf-m or 38.1 ft.lbs) @ 5270 RPM,Injection,Liquid,,120/70-ZR17 ,180/55-ZR17 ,Double disc,Single disc,191.0 kg (421.1 pounds),1215 mm (47.8 inches),2095 mm (82.5 inches),750 mm (29.5 inches),76.4 HP (55.8  kW)),,,,Double Overhead Cams/Twin Cam (DOHC),,"Aluminium die-cast, diamond shaped",0.4002 HP/kg,"795 mm (31.3 inches) If adjustable, lowest setting.",145 mm (5.7 inches),1440 mm (56.7 inches),19.40 litres (5.13 US gallons),,,65.5 x 44.5 mm (2.6 x 1.8 inches),"Wet, multiple-disc",,,,,,,TCI,,Telescopic forks,Swingarm (monocross),Wet sump,245 mm (9.6 inches),,,130 mm (5.1 inches),130 mm (5.1 inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
Kawasaki Vulcan 2000 Classic LT,2007,Custom / cruiser," 3.6  See the detailed rating of design and look, maintenance cost, engine performance, etc. Compare with any other bike.",2053.0 ccm (125.27 cubic inches),"V2, four-stroke",191.2 Nm (19.5 kgf-m or 141.0 ft.lbs) @ 3000 RPM,Injection. DFI with Keihin 46mm throttle bodies (2),Liquid,5-speed,150/80-16 ,200/60-16 ,Double disc,Single disc,361.1 kg (796.0 pounds),,,,,,9.5:1,,Overhead Valves (OHV),Belt   (final drive),,,"787 mm (31.0 inches) If adjustable, lowest setting.",,1410 mm (55.5 inches),20.81 litres (5.50 US gallons),Electric,,103.0 x 123.2 mm (4.1 x 4.9 inches),,,,,32.0°,,Pearl Crystal White/Metallic Titanium or Candy Cardinal Red/Ebony,TCBI with Digital Advance,,49mm hydraulic telescopic fork,"Single shock, eight-way rebound damping",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suzuki Burgman 400,2007,Scooter," 3.6  View the detailed rating of value for money, design and look, reliability, etc. Compare with any other bike.",400.0 ccm (24.41 cubic inches),"Single cylinder, four-stroke",,Injection.  Fuel Injection 38mm,Liquid,Automatic,120/80-14 ,150/70-13 ,Double disc,Single disc,49.0 kg (108.0 pounds),1385 mm (54.5 inches),2270 mm (89.4 inches),760 mm (29.9 inches),,,11.5:1,,Double Overhead Cams/Twin Cam (DOHC),Shaft drive (cardan)   (final drive),,,"710 mm (28.0 inches) If adjustable, lowest setting.",125 mm (4.9 inches),1585 mm (62.4 inches),13.50 litres (3.57 US gallons),Electric,,81.0 x 77.6 mm (3.2 x 3.1 inches),,,,,,,"Gray, Blue",Digital/Transistorized,,"Telescopic, oil damped","Link-type, adjustable preload",Wet Sump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
